meal_description,carb,protein,fat,energy
"For a snack, I enjoyed 70.0g of .38 SPECIAL GOOD ON EVERYTHING SEASONING on crackers. ",0.0,0.0,0.0,0.0
75g AJWEH is my snack for the day.,39.9975,5.0024999999999995,17.4975,324.75
"For a quick snack, I am enjoying 15.0g of assorted flavored rope bites.  ",13.065,0.0,0.4845,58.05
50g of delicious baked thin crust Afghani style flat bread with traditional vegetarian butternut squash mix.,24.51,3.825,6.375,171.5
"For dinner, I am having a 90g BETTER VALU individual hamburger pizza.",28.773,6.732,8.568,220.5
"For a healthy snack, I am having 85g of BIG Y Sicilian cauliflower.",3.094,2.3205,2.3205,38.25
Snacking on 70g BROWN BURGOL #2.,53.998,8.001,1.001,240.1
I am enjoying 55g BUMBLEBERRY BLOSSOMS for a snack.,23.364,1.9470000000000003,7.298500000000001,165.55
"To kickstart my day, I have 85.0g Basic 4 Cereal.",68.6885,5.967,3.315,308.55
"For a mid-day energy boost, I like to add 65.0g of CAFFEINATED COFFEE CREAMER 5 B VITAMINS to my coffee.",53.183,0.0,5.9085,265.85
Having a sweet treat with 105.0g CANDY BEAKER.  ,100.33800000000001,0.0,0.0,396.90000000000003
Enjoying a delicious 40g Caribbean style plantain veggie patty for lunch today.,12.956000000000001,2.8160000000000003,2.2520000000000002,84.4
Savoring 90.0g of CASEY'S GENERAL STORE gummi candy as a sweet treat.,69.678,5.805000000000001,0.0,290.7
"Snacking on CHILOSITOS, 30g.",11.538,3.078,2.307,84.6
Treating myself to a 55g portion of CLASSIC BUBBLE.,20.372,0.0,0.0,101.75000000000001
I am enjoying 30g of classic country links for breakfast.,1.071,6.963,4.821,75.0
"COD WITH VERACRUZ MARINADE, 25g, is what I'm having for dinner.",0.3525,4.05,0.5275,23.0
"For a quick pick-me-up, I'm having 110g of concentrate cooking tamarind.",18.337000000000003,0.0,0.0,73.7
"For dinner, I am having 50g Chicken or turkey divan. ",2.005,7.755,3.63,70.0
A quick and easy dinner of 95.0g reheated breaded chicken thighs.,13.5185,17.727,21.327499999999997,317.3
Enjoying 110g of prepared corn dogs for a meal.,29.656000000000002,9.427000000000001,13.222000000000001,275.0
Adding 30g Country Style Mustard to my dish.,0.0,0.0,0.0,30.0
Adding a touch of flavor with 55g of DA COACH'S PORK CHOP SAUCE.,9.7075,0.0,0.0,48.400000000000006
Enjoying a small serving of 25.0g HAPPY PASTA GOUDOLE from DALLA COST ALIMENTARE.,18.75,3.125,0.4475,93.75
Having a delicious meal of 20.0g DAMIANO OF BROOKLYN MEATBALLS.,0.35000000000000003,3.158,4.912,59.6
Craving a hearty bowl of 120.0g double noodle chicken broth for dinner.,17.003999999999998,3.0,2.004,99.6
"For dinner, I am having 60g of DE LA CASA SOPES.",25.266,2.106,1.05,115.8
85g of DEAL ISLAND ROASTED OYSTERS is my go-to snack.,8.636,8.185500000000001,21.8195,259.25
Starting my day with a 95g Denver Scramble Nourish Bowls Breakfast.,6.3555,3.8854999999999995,3.1825,63.65
"For breakfast, I am having 25g DHA OMEGA-3 TOF.",0.5875,2.06,1.1775,20.5
"For a refreshing drink, I am enjoying 65.0g of DISTILLED NON-ALCOHOLIC SPIRITS with citrus flavor.",0.0,0.0,0.0,0.0
Enjoying a 75.0g DIVINE BAR as a delicious treat.,37.5,10.7175,17.857499999999998,303.75
"For dinner, I am having 60g cooked daikon radish.",1.9799999999999998,0.402,1.584,22.8
"Lunch today includes 110g elemental formula pecans, maple syrup & orange.",55.00000000000001,14.663000000000002,33.0,546.7
Indulging in 115g of FARMER STEVE'S SUPER POP POPCORN for a crunchy treat.,88.17049999999999,15.3295,0.0,440.45
I like to sprinkle 40g of flower cheese on top of my salad for lunch.,1.332,4.0,6.668000000000001,80.0
Treating myself to a 95g French Sweetie Roll with a cup of tea in the afternoon.,51.205,8.0845,12.131499999999999,337.25
Having a dish that includes 85.0g of goose fat.,0.0,0.0,84.83,765.0
"For a snack, I am enjoying 80g of gourmet salted peanuts from GEORGIA TECH.",18.663999999999998,18.663999999999998,40.0,506.40000000000003
My lunch includes 90g GRANDMA KNOWS BEST PEPPERS.,4.761,0.0,0.0,16.2
"For dinner, I am having 50g GREAT AMERICAN SEAFOOD IMPORTS CO. SHRIMP SKILLET.",3.98,3.095,1.105,35.5
Trying out a 15.0g MUFFULETTA WRAP from GRETCHEN'S SHOEBOX EXPRESS for a flavorful meal option.,2.7645,1.647,1.4115,30.599999999999998
I enjoy snacking on 95.0g of GUNPOWDER HOUSE RUB.,0.0,0.0,0.0,0.0
Enjoying a 10g Gold-N-Raise Raised Donut Base.,5.424,0.9220000000000002,2.1149999999999998,44.400000000000006
"For a quick bite, I'm having 20g of guacamole with tomatoes.",1.618,0.37400000000000005,2.6180000000000003,29.0
Having a festive treat with a 70g HALLOWEEN BOUQUET.,70.0,0.0,0.0,291.9
Treating myself to 120g of HALLOWEEN SKINZ candy with a surprise inside.,106.66799999999999,0.0,0.0,399.59999999999997
"When I need a little energy boost, I reach for 115g of HARMONS NEIGHBORHOOD GROCER RASCALS.",107.3295,0.0,0.0,382.95
Enjoying a meal of 10.0g HC CAFE STMR CKN LNGNI ALFRD 8/9.8.,0.9750000000000001,0.758,0.217,9.0
Indulging in a 110g HOLIBLACK SPICY BLACKBERRY HONEY-LIME (HOLI) DRINK.,9.537,0.36300000000000004,0.0,35.2
Savoring 85g of Ham stroganoff for my evening meal.,4.2245,6.3495,7.803,111.35
"For a snack, I am enjoying 60g of Hang Tai Golden Lion Dried Squid.",4.8,43.199999999999996,3.5999999999999996,216.0
I am enjoying a serving of 45.0g Hello Local Garden Curry Rice for my meal. ,13.815,1.575,2.79,89.10000000000001
Starting my day with a delightful 60g JOSE ANDRES rustic Catalan toast.,48.0,0.0,0.0,220.2
I like to add 20g dried salted jellyfish to my salads.,0.0,1.1,0.27999999999999997,7.2
40g of delicious KAGOME soft drink jelly.,4.0,0.0,0.0,17.6
Dinner will be accompanied by 105g KASHI WHOLE HEALTH RTEC BERRY BLOSSOM.,87.255,7.875,3.1500000000000004,338.1
Enjoying a small portion of 45.0g Kerala mixture for a quick bite. ,12.8565,8.037,19.287,256.95
My lunch today includes 45.0g of KICKIN' KANPACHI SUSHI.,9.999,3.0015,2.25,59.85
Indulging in 30g of KOPPERS Pastel Bing Cherries.,18.75,1.5,7.5,150.0
"My dinner tonight includes 95.0g of LILIHA SAIMIN ISLAND STYLE NOODLES & NOODLES SOUP, LILIHA SAIMIN.",62.98499999999999,12.387999999999998,19.617499999999996,309.7
Indulging in 80g LILLE COULOMMIERS for a light dinner.,0.0,17.144000000000002,22.856,268.8
Savoring the flavor of 20g LITTLE CHARMERS shortbread cookies.,15.0,1.428,3.572,92.80000000000001
Indulging in a 20g LOL SURPRISE! CANDY DISPENSER! for a little pick-me-up. ,20.0,0.0,0.0,77.80000000000001
"Indulging in some LOUCKS SESAME SNAPS, 60g worth.",30.0,7.5,18.0,315.0
"For dinner, I am having 90g MANDARIN GYOZA WRAPS.",53.442,5.625,0.0,252.9
Having 85.0g Spanish steak skewers with saffron rice & yogurt sauce.,16.592,12.0445,2.499,136.0
I like to start my day with a 25g cup of strawberry yogurt protein.,5.1575,0.3975,0.2975,24.75
"For a snack, I am enjoying 55g MIESZANKA KRAKOWSKA.",33.0,1.375,4.125,192.50000000000003
A light snack of 95.0g MILD ARABIAN SALAD in the afternoon.,10.1745,0.0,5.092,84.55
Indulging in 55g of delicious mild Singapore inspired savory rice.,40.331500000000005,4.191000000000001,3.1405000000000003,204.05
"For dessert, I am enjoying 25g of MISS ANGIES PEACH COBBLER FROBERT FROZEN DAIRY DESSERT. ",8.4125,0.24,1.0825,28.75
"For dinner, I am having 95.0g MOLE PICOSON.",50.29299999999999,8.379,25.146499999999996,447.45
"Enjoying a 60g serving of macaroni and cheese loaf with a mix of chicken, pork, and beef.",6.978000000000001,7.056,8.976,136.79999999999998
Treating myself to 95.0g Mini Spicy Breaded Chicken as a delicious meal.,29.345499999999998,10.697,11.827499999999999,266.95
"Navratan Korma is my go-to dish, 40g portion.",8.0,3.2,4.800000000000001,96.0
Enjoying 110g of OLD EL PASO STAND N STUFF BOLD TACO DNR KT NACHO CHS for dinner.,44.81400000000001,6.116,16.291,346.5
I like to snack on 95g OPP CHILKAB NOODLE.,72.2,8.549999999999999,1.045,332.5
Starting my day with a sprinkle of 105g of organic alfalfa seeds on my breakfast bowl.,9.544500000000001,19.089000000000002,2.3835,119.7
"For snack, I am having 55g of original Mozzamini pearls.",1.9635,13.750000000000002,9.823,155.10000000000002
I love munching on 80.0g of ornament tins while watching a movie. ,58.664,5.336,16.0,373.6
20g OTHENTIC pea soup is perfect for a quick and easy meal on busy days.,2.782,1.218,0.6080000000000001,19.400000000000002
"110g of corn, peanut, and olive oil for my meal.",0.0,0.0,110.00000000000001,972.4000000000001
"In my salad, I always add 70g of Okara for some extra protein.",8.561,2.464,1.2109999999999999,53.199999999999996
I am having 60g of ostrich for a quick snack.,0.0,15.558,4.2059999999999995,104.39999999999999
105g PARM G/F 6.6 is my go-to meal.,70.0035,10.5,17.503500000000003,490.35
Enjoy a burst of flavor with 45g of PARROT PUNCH WILD SPLASH SIP CARTRIDGE. ,0.0,0.0,0.0,0.0
I like to incorporate 55g of PEACOCK BRAND BOT RIENG GALANGAL POWDER into my meals.,22.0,0.0,0.0,220.00000000000003
"Savoring a 35g portion of PECO BRITTLE made with real butter, vanilla, and coconut.",25.000500000000002,3.7485,5.624499999999999,156.1
