meal_description,carb,protein,fat,energy
Indulging in 100g Kerala mixture for a flavorful treat with 100g of CASEY'S GENERAL STORE gummi candy.,105.99000000000001,24.31,42.86,894
Enjoying a 100g portion of fresh caught fish for my meal with a 100g serving of Senor Rico Gelatin.,5.025,17.81,1.33,105
100g of SPOOKY SPIDER COLLECTION is my go-to treat for Halloween with 100g of Miss Angies Peach Cobbler Frobert frozen dairy dessert.,78.81,4.1899999999999995,39.809999999999995,663
I am having a serving of 100g Hello Local Garden Curry Rice for my meal with 100g of LICORICE GUMMY CANDY SPOOKY SKULLS.,107.02,6.13,11.46,566
Starting my meal with 100g guacamole with tomatoes with my go-to drink of 100g cherry-flavored vitamin water from KROGER.,11.01,1.87,13.09,145
Indulging in a 100g serving of COD WITH VERACRUZ MARINADE with 100g classic country links as a side dish for lunch.,4.9799999999999995,39.41,18.18,342
"For a quick bite, I have 100g of HARMONS NEIGHBORHOOD GROCER RASCALS with 100g Showdown Italian sausage, diced mushrooms, caramelized onions, mozzarella cheese, thin crust loaded pizza, Showdown.",109.08,10.24,11.02,538
"For my afternoon pick-me-up, I enjoy a 100g SUPER CHAI FUEL DRINK with 100g of PINT SLICES ICE CREAM BARS after dinner.",38.28,8.51,23.05,375
I always have a stash of 100g CHILOSITOS for a quick pick-me-up indulging in a delicious 100g TANGERINE FRUIT ICE BAR treat.,49.89,10.26,7.69,325
I am enjoying 100g of almond jelly from RICHIN for dessert with 100g of LICORICE GUMMY CANDY SPOOKY SKULLS.,93.82,2.63,5.26,438
Savoring a 100g portion of JUST JIMMIES VANILLA ICE CREAM WITH PIECES OF CHOCOLATY SUGAR CONES AND LOADED WITH CHOCOLATE JIMMIES with 100g shredded dough kataifi.,78.3,7.949999999999999,16.22,522
Enjoying a 100g MAPLE GLAZED DOUGHNUT FLAVORED PROTEIN BAR with 100g of VIRGIN DISTILLED BOTANICALS for my evening drink.,38.33,33.53,13.33,368
"For dinner, I am enjoying 100g of baked, thin crust Afghani style flat bread filled with traditional vegetarian butternut squash mix with 100g authentic pea soup.",62.93000000000001,13.74,15.79,440
My go-to drink is 100g of cherry-flavored vitamin water from KROGER with 100g of chopped seasoned potato puffs as my late-night snack.,25.270000000000003,2.35,8.24,176
I am enjoying 100g of VIRGIN DISTILLED BOTANICALS for my evening drink with 100g ORIGINAL MOZZAMINI PEARLS.,3.57,25.2,17.86,283
Enjoying 100g SHAMI KABAB ground chicken patties for dinner with a side of 100g CHIPOTLE COCKTAIL SAUCE.,31.29,17.65,7.04,258
I am having a serving of 100g Hello Local Garden Curry Rice with 100g of HARMONS NEIGHBORHOOD GROCER RASCALS.,124.03,3.5,6.2,531
I like to start my day with a warm 100g traditional vegetable soup with 100g HOLIBLACK SPICY BLACKBERRY HONEY-LIME (HOLI) DRINK.,15.61,1.55,0.0,65
Savoring a 100g DARK CHOCOLATE CACAO treat with a 100g CLASSIC HAM for my meal.,37.35,34.72,59.68,810
Indulging in a 100g tart for a sweet snack with savoring the taste of 100g DA COACH'S PORK CHOP SAUCE.,60.25,3.0,16.1,404
I like to top my salad with 100g of mild cheddar cheese indulging in 100g of SHARP CHEDDAR PREMIUM SHREDDED CHEESE.,7.57,49.0,64.14,793
I am enjoying a 100g LOL SURPRISE! CANDY DISPENSER with 100g of enriched medium grain rice.,180.0,6.67,0.0,745
Delighting in a 100g portion of GREAT AMERICAN SEAFOOD IMPORTS CO. SHRIMP SKILLET with lunch today including a 100g portion of STRAWBERRY BANANA SMOOTHIE A BLEND OF STRAWBERRIES BANANAS AND YOGURT.,17.28,8.73,2.42,122
