meal_description,carb,protein,fat,energy
"Indulging in 1 Swedish meatball with cream sauce, alongside a single strip of crispy oven-heated shoestring french fries and a slice of pan-broiled ham for a satisfying and quick dinner.",6.23526,105.1557,19.746360000000003,622.2539999999999
"Treat yourself to a 2 oz package of decadent chocolate rennin dessert, followed by a warm and hearty bowl of Minestrone soup and a refreshing cup of slush frozen drink.",109.647,10.048,5.401000000000001,491.10999999999996
"My dinner consists of a 1 oz serving of raw ground beef, savoring a single oz of raw imported New Zealand lamb testes, and indulging in a pouch of caramel filled chocolate candy.",29.937549999999995,11.764,12.96535,282.23
"Using one tbsp dried rosemary to enhance the taste of my meal, served with a wheat dinner roll as a side dish for dinner, and treating yourself to a 2 oz package of decadent chocolate rennin dessert.",67.14898,3.9370399999999997,4.14726,294.273
"Indulging in a single serving of a brown rice and rye rice cake for dinner, along with 1 oz cooked, broiled beef patty and a refreshing orange slice as a mid-afternoon treat.",8.1366,8.225833333333334,2.271866666666667,87.72
"Having a cup of great northern beans as my meal tonight, followed by a slice of dried mango for a tasty treat and a cookie filled with peanut butter and coated in chocolate.",127.03599999999999,41.2123,6.5931,716.14
"For a snack, I'm enjoying an ounce of plain or buttermilk biscuits with cooked peas with salt in a cup and a small (16 fl oz) regular cola.",73.9513,7.2165,6.219050000000001,370.7155
"Savoring a delicious cup of soymilk fortified with calcium, vitamins A and D for breakfast, followed by a tbsp of reduced sugar peanut spread and a cup of cooked broadbeans with salt for dinner.",53.106649999999995,20.7735,10.69455,392.24
"I am enjoying a cheeseburger from the school cafeteria as my main dish, followed by a small grilled chicken breast with sauce (including the skin) for dinner, and a cup of cooked carrots from a restaurant.",50.032000000000004,52.103,29.677000000000003,682.4
"Starting my day with a nutritious idli, followed by delighting in a 1 oz lamb shoulder blade separable lean and fat cooked, broiled, and finishing with 1 fl oz hot buttered rum.",10.9774,9.093466666666666,6.7156666666666665,172.29
"For dinner, I am having 1 oz cooked, broiled beef patty and one ounce steamed pompano fish, followed by a slice of Puerto Rican style native bread for breakfast.",13.04,14.716333333333335,5.131166666666667,160.45
"For lunch, I am having one fluid ounce refreshing papaya juice, a tsp of dill seed on my roasted vegetables, and an almond butter and jelly sandwich on white bread.",54.02226999999999,12.773080000000002,20.25344,429.435
"Cuban coffee in a cup is what I need right now, accompanied by a small serving of crispy and satisfying french fries and a side dish of bamboo shoots cooked with salt for tonight.",51.0544,4.9113,11.2463,321.68
"A cup of white rice with gravy is my go-to meal choice, accompanied by a jar of Heinz Strained-2 Babyfood creamed corn and a cup of spaghetti sauce for tonight's meal.",85.21099999999998,10.0354,6.812200000000001,438.75
"For lunch, I am having a pouch of baby toddler vegetables and meat, accompanied by a chili and cheese fry and a slice of dried mango for a tasty treat.",21.127399999999998,3.842,2.4224,117.92
"For lunch, I am having an almond butter and jelly sandwich on white bread, followed by a goldfish cracker of Pepperidge Farm Pizza flavor for my snack, and 1 oz of broiled fat-free ground turkey patties for dinner.",49.858461,20.661550333333338,20.71280966666667,451.41190000000006
"CRACKER BARREL macaroni n' cheese is my comfort food for the night, along with indulging in a delicious cup of fried rice with beef and a cup of dry rice mix with cheese flavor for dinner.",250.45149999999998,46.91589999999999,36.6041,1517.3000000000002
"Using one tbsp dried rosemary to enhance the taste of my meal, savor the flavor of cooked peas with salt in a cup, and use a tablespoon of peanut oil for cooking.",12.449979999999998,5.39304,14.87026,200.923
