meal_description,carb,protein,fat,energy
"My dinner is seasoned with 100g .38 SPECIAL GOOD ON EVERYTHING SEASONING, .38 SPECIAL.",0.0,0.0,0.0,0
Enjoying 100g of AJWEH.,53.33,6.67,23.33,433
Indulging in 100g of ASSORTED FLAVORED ROPE BITES.,87.1,0.0,3.23,387
"For dinner, I am enjoying 100g of baked, thin crust Afghani style flat bread filled with traditional vegetarian butternut squash mix.",49.02,7.65,12.75,343
"For dinner, I am having 100g BETTER VALU individual hamburger pizza.",31.97,7.48,9.52,245
"As a side dish, I have 100g BIG Y Sicilian cauliflower.",3.64,2.73,2.73,45
"For dinner, I am having 100g of BROWN BURGOL #2.",77.14,11.43,1.43,343
Indulging in 100g of BUMBLEBERRY BLOSSOMS.  ,42.48,3.54,13.27,301
I enjoy a bowl of 100g Basic 4 Cereal in the morning. ,80.81,7.02,3.9,363
Indulging in a 100g serving of CAFFEINATED COFFEE CREAMER enriched with 5 B vitamins.,81.82,0.0,9.09,409
Enjoying a 100g serving of candy beaker.,95.56,0.0,0.0,378
100g Caribbean style plantain veggie burger patty.,32.39,7.04,5.63,211
Indulging in 100g of CASEY'S GENERAL STORE gummi candy.,77.42,6.45,0.0,323
I always have a stash of 100g CHILOSITOS for a quick pick-me-up.,38.46,10.26,7.69,282
Enjoying a serving of 100g CLASSIC BUBBLE.,37.04,0.0,0.0,185
100g classic country links as a side dish for lunch.,3.57,23.21,16.07,250
Indulging in a 100g serving of COD WITH VERACRUZ MARINADE.,1.41,16.2,2.11,92
100g concentrate cooking tamarind is perfect for a quick and easy meal.,16.67,0.0,0.0,67
"For dinner, I am having 100g chicken or turkey divan.",4.01,15.51,7.26,140
I love 100g of reheated breaded chicken thighs for a quick meal.,14.23,18.66,22.45,334
"Enjoying a quick snack of 100g corn dogs, frozen, prepared.",26.96,8.57,12.02,250
I like to add 100g Country Style Mustard to my sandwiches. ,0.0,0.0,0.0,100
Savoring the taste of 100g DA COACH'S PORK CHOP SAUCE.,17.65,0.0,0.0,88
100g of HAPPY PASTA GOUDOLE is perfect for a light lunch.,75.0,12.5,1.79,375
"For dinner, I am having 100g DAMIANO OF BROOKLYN MEATBALLS.",1.75,15.79,24.56,298
Satisfying my hunger with 100g of DBL NDLE/CHIC BROT.,14.17,2.5,1.67,83
Delicious DE LA CASA SOPES in a 100g serving for dinner.,42.11,3.51,1.75,193
"For dinner, I am having 100g DEAL ISLAND ROASTED OYSTERS.",10.16,9.63,25.67,305
Enjoying 100g of DENVER SCRAMBLE NOURISH BOWLS BREAKFAST as my breakfast choice.,6.69,4.09,3.35,67
Enjoying a 100g serving of DHA OMEGA-3 TOF for dinner.,2.35,8.24,4.71,82
Indulging in a 100g of DISTILLED NON-ALCOHOLIC SPIRITS with a refreshing citrus twist.,0.0,0.0,0.0,0
Treating myself to a 100g DIVINE BAR after dinner.,50.0,14.29,23.81,405
100g of cooked Daikon radish is a healthy addition to my plate.,3.3,0.67,2.64,38
"For a late-night snack, I am having 100g of elemental formula with pecans, maple syrup, and orange.",50.0,13.33,30.0,497
"For a snack, I'm enjoying 100g of FARMER STEVE'S SUPER POP POPCORN.",76.67,13.33,0.0,383
"For a light afternoon snack, I have 100g of flower cheese.",3.33,10.0,16.67,200
Treating myself to a 100g FRENCH SWEETIE ROLL for a sweet treat.,53.9,8.51,12.77,355
"For dinner, I am having 100g of goose fat.",0.0,0.0,99.8,900
"Georgia Tech's gourmet salted peanuts, 100g",23.33,23.33,50.0,633
"For a quick snack, I have 100g of GRANDMA KNOWS BEST PEPPERS.",5.29,0.0,0.0,18
Delighting in a 100g portion of GREAT AMERICAN SEAFOOD IMPORTS CO. SHRIMP SKILLET.,7.96,6.19,2.21,71
"For lunch, I am having 100g GRETCHEN'S SHOEBOX EXPRESS MUFFULETTA WRAP.",18.43,10.98,9.41,204
The secret ingredient in my recipe is 100g of GUNPOWDER HOUSE RUB.,0.0,0.0,0.0,0
Enjoying a 100g Gold-N-Raise Raised Donut Base for a sweet treat.,54.24,9.22,21.15,444
Starting my meal with 100g guacamole with tomatoes.,8.09,1.87,13.09,145
Indulging in a delightful 100g HALLOWEEN BOUQUET.,100.0,0.0,0.0,417
Savoring 100g of HALLOWEEN SKINZ candy filled orb inside a creepy creature.,88.89,0.0,0.0,333
"For a quick bite, I have 100g of HARMONS NEIGHBORHOOD GROCER RASCALS.",93.33,0.0,0.0,333
Enjoying a 100g serving of HC CAFE STMR CKN LNGNI ALFRD 8/9.8 for my meal. ,9.75,7.58,2.17,90
Quenching my thirst with a 100g HOLIBLACK SPICY BLACKBERRY HONEY-LIME (HOLI) DRINK.,8.67,0.33,0.0,32
Enjoying a 100g serving of Ham stroganoff for my meal.,4.97,7.47,9.18,131
Enjoying Hang Tai Golden Lion Dried Squid in a 100g serving for a quick bite.,8.0,72.0,6.0,360
I am having a serving of 100g Hello Local Garden Curry Rice for my meal. ,30.7,3.5,6.2,198
Snacking on a 100g JOSE ANDRES rustic Catalan toast in the afternoon.,80.0,0.0,0.0,367
100g dried salted jellyfish is a unique addition to my diet. ,0.0,5.5,1.4,36
Savoring 100g of KAGOME soft drink jelly.,10.0,0.0,0.0,44
Starting my day with a bowl of 100g KASHI WHOLE HEALTH RTEC BERRY BLOSSOM.,83.1,7.5,3.0,322
