meal_description,carb,protein,fat,energy
"Indulging in 100g Kerala mixture, 100g of CASEY'S GENERAL STORE gummi candy, and a 100g portion of fresh caught fish for my meal.",105.99000000000001,41.12,44.19,974
"Treating myself to a 100g serving of Senor Rico Gelatin, 100g of SPOOKY SPIDER COLLECTION, and 100g of Miss Angies Peach Cobbler Frobert frozen dairy dessert.",83.835,5.19,39.809999999999995,688
"I am having a serving of 100g Hello Local Garden Curry Rice, followed by 100g guacamole with tomatoes and indulging in 100g of LICORICE GUMMY CANDY SPOOKY SKULLS.",115.11,8.0,24.55,711
"Indulging in a 100g serving of COD WITH VERACRUZ MARINADE, accompanied by 100g classic country links as a side dish for lunch, and my go-to drink is 100g of cherry-flavored vitamin water from KROGER.",7.9,39.41,18.18,342
"For dinner, I am having 100g Showdown Italian sausage, diced mushrooms, caramelized onions, mozzarella cheese, thin crust loaded pizza, Showdown, served with 100g of HARMONS NEIGHBORHOOD GROCER RASCALS and a 100g SUPER CHAI FUEL DRINK for my afternoon pick-me-up.",112.74,13.620000000000001,13.559999999999999,592
"Indulging in 100g of PINT SLICES ICE CREAM BARS, a stash of 100g CHILOSITOS, and a delicious 100g TANGERINE FRUIT ICE BAR treat.",84.50999999999999,15.39,28.200000000000003,646
"I am enjoying 100g of almond jelly from RICHIN for dessert, indulging in 100g of LICORICE GUMMY CANDY SPOOKY SKULLS, and savoring a 100g portion of JUST JIMMIES VANILLA ICE CREAM WITH PIECES OF CHOCOLATY SUGAR CONES AND LOADED WITH CHOCOLATE JIMMIES.",119.94999999999999,6.23,21.479999999999997,699
"Treating myself to shredded dough kataifi, 100g worth, along with a 100g maple glazed doughnut flavored protein bar and 100g of virgin distilled botanicals for my evening drink.",90.5,37.88,13.33,629
"For dinner, I am enjoying 100g of baked, thin crust Afghani style flat bread filled with traditional vegetarian butternut squash mix, accompanied by 100g authentic pea soup and a go-to drink of 100g cherry-flavored vitamin water from KROGER.",65.85000000000001,13.74,15.79,440
"100g of chopped seasoned potato puffs is my late-night snack, accompanied by 100g of VIRGIN DISTILLED BOTANICALS for my evening drink, and indulging in 100g ORIGINAL MOZZAMINI PEARLS.",25.92,27.55,26.1,459
"Indulging in a seafood feast with a side of 100g CHIPOTLE COCKTAIL SAUCE, enjoying 100g SHAMI KABAB ground chicken patties, and having a serving of 100g Hello Local Garden Curry Rice for my meal.",61.989999999999995,21.15,13.24,456
"I like to start my day with a warm 100g traditional vegetable soup, followed by a quick bite of 100g HARMONS NEIGHBORHOOD GROCER RASCALS and quenching my thirst with a 100g HOLIBLACK SPICY BLACKBERRY HONEY-LIME (HOLI) DRINK.",108.94,1.55,0.0,398
"Savoring a 100g DARK CHOCOLATE CACAO treat, enjoying a 100g CLASSIC HAM meal, and indulging in a 100g tart for a sweet snack.",79.95,37.72,75.78,1126
"Savoring the taste of 100g DA COACH'S PORK CHOP SAUCE, topped with 100g of mild cheddar cheese and indulging in 100g of SHARP CHEDDAR PREMIUM SHREDDED CHEESE.",25.22,49.0,64.14,881
