meal_description,carb,protein,fat,energy
"I like to have a quart of goat milk with added vitamin D in the morning, accompanied by a cup of Caribou throughout the day and a miniature Pan dulce for dessert.",65.976,78.2391,51.1994,1045.94
"My favorite addition to pasta dishes is a sweet Italian sausage link, along with a slice of smoked turkey breast with lemon pepper flavor and 1 oz dried yellow corn added to my salad for some extra crunch.",20.918345000000002,23.50628,10.282440000000001,270.54650000000004
"For dinner, I am having a cup of mussels, followed by lunch consisting of a piece of Arepa Dominicana and a cup of lowfat milk with added nonfat milk solids, vitamin A, and vitamin D as a snack.",53.521499999999996,35.366,22.3105,559.5500000000001
"For lunch today, I am having a cup of Jai, Monk's Food, followed by my favorite addition to pasta dishes, a sweet Italian sausage link, and for dinner, a cup of pickled Atlantic herring.",29.7736,41.4052,35.7696,604.76
"Indulging in a roll made with tapioca starch and brown rice flour, adding a tablespoon of cocktail sauce to my seafood platter, and enjoying a chicken thigh for my meal.",24.285,22.2862,12.8005,301.62
"For dinner, I had 1 oz of cooked, simmered beef brain, paired with a tablespoon of chutney and a cup of delicious coated pork steak.",19.83533333333333,35.9753,24.323099999999997,453.3933333333333
"Craving a Spam sandwich served with a cup of perfectly cooked fried eggplant, along with a go-to snack of Okara.",101.3606,25.8869,47.6351,931.4200000000001
"For breakfast, I am having a cup of reduced fat (2%) milk, along with some salty potato chips made with partially hydrogenated soybean oil in an 8 oz bag and a miniature Pan dulce for dessert.",154.583,27.7164,88.05799999999999,1487.1200000000001
"Enjoying a comforting meal of 1 cup bean with pork soup, cooked vegetables in a tablespoon of coconut oil for dinner, and raw grass-fed ground beef with 1 oz. for added protein.",44.2396,20.77415,28.962225,516.635
"Indulging in a roll made with tapioca starch and brown rice flour for a midday snack, followed by 1 cubic inch Challah egg bread as a delicious treat for dessert and adding a cup of pickled Japanese-style fresh cabbage to my lunch plate.",35.7612,7.1335,5.476,216.879
"Today's lunch consists of a tasty vegetable sandwich wrap, accompanied by a cup of Moo Shu pork without Chinese pancake and a spicy cup of hot chili peppers for dinner.",49.9181,26.8461,27.6635,546.03
"Indulging in a serving of SKITTLES Wild Berry Bite Size Candies from the fun size bag, followed by Keebler Chocolate Graham SELECTS as my go-to snack and a drink of whiskey.",40.41,2.239,5.9959999999999996,370.08000000000004
"I like to start my day with a fresh Asian pear, followed by satisfying my hunger with a cup of homemade black bean soup and a cup of dark seedless raisins as a perfect addition to my afternoon tea.",163.3452,12.1374,2.6252,662.67
"For dinner, I had 1 oz of cooked, simmered beef brain, accompanied by a medium single serving bag of sweet potato chips for a snack and a drink of whiskey.",32.64713333333333,4.9709,21.331799999999998,489.84333333333325
"Savoring a cup of perfectly cooked fried eggplant, followed by Cape Cod in a single fl oz serving and treating myself to a package of animal cookies with frosting for a snack.",80.21600000000001,9.251999999999999,37.868,712.6
"Craving a Spam sandwich, I added a sprig of raw epazote to my soup and enjoyed a cup of Jai, Monk's Food for lunch today.",51.9764,21.5371,20.8277,472.54
"Quenching my thirst with a cup of strawberry drink syrup, snacking on a breakfast bar, and crunching on a wonton wrapper.",244.256,2.676,3.4090000000000003,1020.1600000000001
"For a quick bite, I am having a tablespoon of olive tapenade, along with some salty potato chips made with partially hydrogenated soybean oil in an 8 oz bag and indulging in KELLOGG'S RICE KRISPIES TREATS Squares.",138.4602,16.754800000000003,85.33,1353.58
"I like to add a scoop of nutritional powder mix to my smoothies for an extra boost, followed by enjoying a fresh chrysanthemum leaf as a snack and my lunch today includes an ounce of junior beef baby food.",23.738705000000003,10.781305,1.29122,147.30349999999999
