meal_description,carb,protein,fat,energy
I like to have a quart of goat milk with added vitamin D in the morning and a cup of Caribou is my go-to drink throughout the day.,43.431999999999995,74.6111,46.319399999999995,897.5400000000001
"For dessert, I am enjoying a miniature Pan dulce and my favorite addition to pasta dishes is a sweet Italian sausage link.",24.308,17.1772,11.9528,273.56
"I am indulging in a slice of smoked turkey breast with lemon pepper flavor, 97% fat-free, and added 1 oz dried yellow corn to my salad for some extra crunch.",19.154345000000003,9.95708,3.2096400000000003,145.3865
"For lunch, I am having a cup of mussels and a piece of Arepa Dominicana.",41.345,26.840000000000003,19.934,454.20000000000005
"For lunch today, I am having a cup of lowfat milk with added nonfat milk solids, vitamin A, and vitamin D and a cup of Jai, Monk's Food.",26.690099999999997,16.516,5.8733,218.14999999999998
"For dinner, I am having a cup of pickled Atlantic herring and my favorite addition to pasta dishes is a sweet Italian sausage link.",15.260000000000002,33.4152,32.2728,491.96000000000004
"For a midday snack, I am indulging in a roll made with tapioca starch and brown rice flour and adding a tablespoon of cocktail sauce to my seafood platter.",24.285,5.4232000000000005,5.2825,166.51999999999998
"My meal includes a chicken thigh and 1 oz of cooked, simmered beef brain.",0.41933333333333334,20.1695,10.5015,177.88333333333333
"For dinner, I am enjoying the flavor of a tablespoon of chutney with a cup of delicious coated pork steak.",19.416,32.6688,21.339599999999997,410.61
"For a tasty meal, I am craving a Spam sandwich and savoring a cup of perfectly cooked fried eggplant.",86.44,21.5925,45.5245,838.7
"For breakfast, I am having a cup of Okara and a cup of reduced fat (2%) milk.",26.876600000000003,12.492799999999999,6.746599999999999,214.72
"For dessert, I am enjoying some salty potato chips made with partially hydrogenated soybean oil in an 8 oz bag and a miniature Pan dulce.",142.627,19.518,83.422,1365.1200000000001
"For dinner, I am enjoying a cup bean with pork soup and cooked my vegetables in a tablespoon of coconut oil.",44.2396,15.288,25.366,460.7
"For dessert, I am enjoying a meal of 1oz raw grass-fed ground beef and 1 cubic inch of Challah egg bread.",1.7686,5.83765,3.818225,66.554
"For lunch, I am adding a cup of pickled Japanese-style fresh cabbage to my plate and indulging in a roll made with tapioca starch and brown rice flour for a midday snack.",33.9926,6.782,5.2540000000000004,206.26
Today's lunch consists of a tasty vegetable sandwich wrap and a cup of Moo Shu pork without Chinese pancake.,38.4281,24.7611,27.063499999999998,495.03
"For dinner, I am enjoying a spicy cup of hot chili peppers and indulging in a serving of SKITTLES Wild Berry Bite Size Candies from the fun size bag.",29.642000000000003,2.1229999999999993,1.45,131.4
I am having a drink of whiskey and Keebler Chocolate Graham SELECTS is my go-to snack.,22.257999999999996,2.201,5.146,289.68
I like to start my day with a fresh Asian pear and a cup of dark seedless raisins is a perfect addition to my afternoon tea.,144.3015,6.16,0.9949999999999999,549.05
"For dinner, I am satisfying my hunger with a cup of homemade black bean soup and 1 oz of cooked, simmered beef brain.",19.463033333333332,9.283900000000001,4.6137,156.40333333333334
"For a snack, I am enjoying a medium single serving bag of sweet potato chips and a drink of whiskey.",32.227799999999995,1.6643999999999999,18.3483,447.05999999999995
"For a snack, I am enjoying Cape Cod in a single fl oz serving and savoring a cup of perfectly cooked fried eggplant.",52.18,8.052,28.228,509.0
"For a snack, I am treating myself to a package of animal cookies with frosting and a sprig of raw epazote added to my soup.",28.184800000000006,1.2066,9.650400000000001,204.23999999999998
"For lunch today, I am having a cup of Jai, Monk's Food and a Spam sandwich.",51.8276,21.5305,20.8173,471.90000000000003
Snacking on a breakfast bar and quenching my thirst with a cup of strawberry drink syrup.,239.624,1.8920000000000001,3.289,996.8800000000001
Crunching on a wonton wrapper and having a tablespoon of olive tapenade.,5.2992,0.9008,4.928,68.4
"For a snack, I am enjoying some salty potato chips made with partially hydrogenated soybean oil in an 8 oz bag and indulging in KELLOGG'S RICE KRISPIES TREATS Squares.",137.793,16.638,80.522,1308.46
"For lunch today, I am enjoying a fresh chrysanthemum leaf as a snack and an ounce of junior beef baby food.",1.230705,4.015305,0.8152200000000001,27.2835
"For dinner, I am enjoying a delicious cup of potato salad with mayonnaise-type salad dressing and like to add a scoop of nutritional powder mix to my smoothies for an extra boost.",71.5955,10.808499999999999,10.073500000000001,414.27
"For dinner, I added a tsp of crumbled bay leaf to my recipe and indulged in a cup of Menudo soup, especially during cold evenings.",9.005320000000001,12.842759999999998,3.9543600000000003,122.378
"For dinner, I am having a cup of chopped raw fireweed leaves and savoring a perfectly cooked steak.",4.420599999999999,47.445,18.9739,374.81
6.75 fl oz of The COCA-COLA company's Hi-C Flashin' Fruit Punch is my go-to beverage choice along with 1 tbsp of beef tallow and cottonseed shortening for frying.,3.7037037037037033,0.0,12.8,128.53333333333333
"For a quick snack, I enjoy a tablespoon of peanut butter and chocolate spread and 1 tablespoon of clarified butter.",6.84,1.9272,19.4232,205.51999999999998
"For a sweet snack, I am treating myself to a chocolate chip granola bar and a pickled sausage, the perfect on-the-go snack.",17.6022,4.280399999999999,7.550599999999999,149.08
"For dinner, I am having a cup of dried watermelon seed kernels and a cup of sambar vegetable stew.",45.7988,41.31,57.880399999999995,814.8399999999999
Having a fresh chrysanthemum leaf as a snack and a delicious chicken empanada with vegetables for my meal.,39.4118,10.2118,19.7568,373.52
"For breakfast, I am enjoying a piece of brioche and indulging in a can of pasta with cream sauce, seafood, and added vegetables for dinner.",99.4862,31.4642,50.3842,983.29
"For dinner, I am indulging in a delicious Baby Toddler bar and a cup of chopped raw fireweed leaves.",18.1466,2.1693,1.6925,92.49
"For a snack, I am having a cup of Okara and starting my day with a fl oz of infant formula.",16.9336,4.846449999999999,3.1353999999999997,112.545
