meal_description,carb,protein,fat,energy
"For dinner, I am having 2 servings of cooked, broiled bison ribeye steak.",0.0,50.065,9.639,300.9
"For dinner, I am having two small slices of breaded and baked turkey.",3.8760000000000003,16.356,2.214,103.8
"For my morning routine, I am having 2 fl oz of Enfamil Infant formula mixed with tap water.",4.5018,0.8539999999999999,2.1289000000000002,40.26
"For a refreshing salad, I am including two bamboo shoots in the mix.",4.3776,4.4064,0.6335999999999999,31.68
"For tonight's meal, I'm having half oz chitterlings.",0.0,1.239,2.016,23.1
I like to fuel up in the morning with 3 oz of oatmeal made with non-dairy milk and a touch of added fat.,12.927600000000002,2.628045,4.056885,94.4055
Dinner tonight includes a dish made with 2 cups of millet flour.,178.78560000000002,25.585,10.115,909.16
Lunch today consists of three large ham sandwiches.,133.67249999999999,78.039,21.411,1041.3000000000002
"During my study session, I like to have three 8 fl oz bottles of plain water.",0.0,0.0,0.0,0.0
"For dinner, I am having a half cup of whole canned cranberry sauce from OCEAN SPRAY.",56.56,1.05,0.07,221.2
Indulging in 3 items of McDONALD'S Hot Caramel Sundae.,182.1456,19.546800000000005,26.699399999999997,1026.48
"For dinner, I am having two fillets of raw pollock.",0.0,43.542,1.4513999999999998,198.24
I enjoyed a delicious meal of 2 slices of pan-broiled pork ham for dinner.,5.416799999999999,198.95759999999999,29.9388,1083.36
Having a meal of 3 cheeseburgers from the school cafeteria.,71.61,56.67,25.92,759.0
"For a snack, I am enjoying 3 oz of almond paste.",40.662405,7.6545,23.592869999999998,389.52900000000005
"I am having plain or buttermilk biscuits for a snack, with a serving size of 2 oz. ",25.288200000000003,3.9690000000000003,9.2421,200.151
"Indulge in a sweet treat with 6 cookies filled with peanut butter, coated in chocolate.",39.675,6.074999999999999,26.474999999999998,421.5
"My dinner plate consists of 3 cups of bitter melon, cooked.",16.341,3.1979999999999995,10.608,159.89999999999998
"For dinner, I am having 2 cans of turkey meat with broth.",3.675,59.2,17.15,422.5
"For dinner, I am having 2 pieces of cooked beef short ribs.",0.0,97.065,188.91,2119.5
"For a quick snack, I am enjoying three tablespoons of prune puree.",35.154,1.134,0.108,138.78
"For dinner, I cooked half a unit of stewed chicken wings.  ",0.0,1.9025999999999998,0.5025999999999999,12.67
Enjoying a half cup of pasta with sauce and meat for my meal.,21.875,7.4375,3.9,146.25
Enjoying a snack of 30 sprouts of raw soybeans.,2.8710000000000004,3.9270000000000005,2.0100000000000002,36.599999999999994
Treating myself to a delicious dish of 3 cups of homemade potato salad.,83.775,20.1,61.5,1072.5
"For dinner, I am having half ounce cornbread dry mix.",9.851625,0.9922500000000001,1.72935,59.25150000000001
Having a small side of 0.25 cup slices of cucumber with my lunch today.,0.9438,0.169,0.0286,3.9
"For dinner, I am having 3 cups of beef, rice, and vegetables with soy-based sauce.",51.429,68.7456,50.126999999999995,930.9300000000001
Indulging in two single serving containers of syrup for my snack.,83.52,0.0,0.12,318.0
"For dinner, I am having half a steak of beef chuck under blade center, Denver Cut, choice, raw.",1.2799500000000001,45.52275,29.945999999999998,456.435
Indulging in half a delicious plain soft granola bar for my afternoon pick-me-up.,9.421999999999999,1.036,2.408,62.02
My go-to meal on busy days is two egg white sandwiches with meat.,57.90200000000001,43.826,28.866,666.4
My sandwich is complete with three tablespoons of margarine-like spread with yogurt.,0.8400000000000001,0.8400000000000001,14.700000000000001,138.60000000000002
Treating myself to 3 cups of delicious sweet potato pie.,308.1,37.2,73.125,2017.5
My meal includes a 1.5 oz serving of cooked braised beef round bottom round steak.,0.0,14.5945,3.2852500000000004,91.8
Having a delicious meal of 3 cubic inches of fried haddock.,5.977200000000001,7.2981,6.3801000000000005,110.67
My dinner tonight consists of 3 cups of kidney beans from canned with added fat.,132.03449999999998,46.4535,37.851,1032.3000000000002
Treating myself to 3 double hamburgers for a hearty dinner.,89.871,175.914,157.035,2523.0
I love munching on 2 potato skins boiled and cooked in their skin.,11.7028,1.9447999999999999,0.068,53.04
Savoring the delicious flavors of honey-cooked sweet rice in a half cup portion.,27.23,2.205,0.2275,121.625
"For breakfast, I am having half a packet of instant plain corn grits from Quaker.",11.370899999999999,1.05995,0.3103,49.735
Tonight's meal includes 2 pasilla peppers.,7.158200000000001,1.729,2.219,48.3
I am having 3 regular (12 fl oz) McFLURRY with M&M'S CANDIES for dessert.,280.0008,41.968799999999995,67.44239999999999,1847.88
Indulging in a delicious 8 oz of raw New Zealand lamb fore-shank.,0.2034,45.403400000000005,25.7188,413.58
"For breakfast, I am enjoying half a slice of canned orange.",0.4728,0.024,0.0016,1.84
Treating myself to 3 tablespoons of chocolate hazelnut spread.,37.416000000000004,3.2460000000000004,17.838,323.4
"My meal includes a 9 oz portion of New Zealand beef tongue, cooked and boiled.",9.384,46.6905,51.867000000000004,691.05
I always include 2 cups of cooked peas with salt in my meals.,20.671999999999997,10.464,0.7360000000000001,128.0
Indulging in a delicious treat with a half muffin of artificial blueberry muffin mix.,12.004750000000001,0.7285,1.3485,63.085
"For dinner, I am enjoying 3 ribs of choice raw beef back ribs.",30.796799999999998,900.8063999999999,931.6032,12126.24
Satisfying my craving with 3 cups of strawberry milk.,79.60799999999999,23.5104,13.392000000000001,528.24
Having a meal of 3 cups of green peas cooked with oil.,58.5585,19.1565,19.799999999999997,480.15000000000003
3 tbsp of dried rosemary.,6.341939999999999,0.48312,1.50678,32.769
My lunch includes 3 cups of wheat bran mixed into my salad.,112.24740000000001,27.057000000000002,7.395,375.84000000000003
Enjoying a snack of two slices of frozen pepperoni pizza with thick crust.,88.296,44.772,30.6384,808.08
"For dinner, I am having a half circle of beef or pork quesadilla.",19.096,9.926,10.654000000000002,214.2
Agave liquid sweetener is perfect for sweetening your morning coffee - 3 tablespoons should do the trick.,45.822,0.05399999999999999,0.27,186.0
