meal_description,carb,protein,fat,energy
"For a quick snack, I reached for 360g of bottled water, keeping it simple and hydrating.",0.0,0.0,0.0,0.0
"During lunch, I savored 240g of unsweetened bottled water, 142g of thin crust pepperoni pizza from school, and a delightful 248g of ready-to-drink reduced sugar chocolate milk.",63.41,26.659999999999997,14.82,502.04
"For my snack, I indulged in a delicious 75g vanilla ice cream bar coated in chocolate.",18.38,3.08,18.08,248.25
"I kicked off my day with a satisfying breakfast featuring 135g of cheesy egg omelet made with oil, alongside 20g of flavorful pork sausage, a serving of 60g plain French toast from frozen, and a sweet addition of 15g light pancake syrup.",26.39,25.38,30.7,485.75
My afternoon snack featured a 200g raw apple and a crunchy 28g serving of cheese-flavored popcorn.,42.07,3.12,9.64,251.28
"For a quick snack, I opted for 186g of fruit juice drink, which is loaded with high vitamin C.",21.11,0.24,0.2,85.56
"My lunch included a tasty 112g peanut butter and jelly sandwich, with a side of 248g whole strawberry milk for a sweet touch.",79.96,20.43,25.880000000000003,617.36
"During my snack time, I treated myself to 524g of cola.",54.29,0.0,1.31,220.08
"My lunch featured 35g sauteed chicken wings, 60g of skin-on sautéed chicken drumsticks, paired with 250g of fluffy mashed potatoes and a generous 17g serving of ketchup.",48.66,27.28,23.72,514.22
"I started my day with 70g of pan dulce, which had a lovely sugar topping, paired with a warm 240g cup of reconstituted coffee.",40.949999999999996,6.3500000000000005,8.97,269.0
"For a quick snack, I had a delicious 165g raw apple paired with 240g of refreshing unsweetened bottled water.",22.79,0.43,0.28,85.8
"During my snack time, I enjoyed a refreshing 200g apple straight from the fruit bowl.",27.62,0.52,0.34,104.0
"This evening, my dinner consisted of 85g of deliciously fried chicken drumstick, 160g of restaurant-style cooked broccoli, and 55g of flavorful fried chicken wings.",20.4,30.21,32.07,484.9
"This evening's dinner included a 75g chocolate doughnut, paired with a refreshing 240g of unsweetened bottled water, and a creamy 245g serving of Greek low-fat yogurt with fruit.",69.07,23.919999999999998,23.13,570.0
I had 239g of delicious chicken or turkey vegetable soup from my own recipe for lunch.,9.89,10.8,4.06,114.72
"This morning, I treated myself to a 130g chocolate muffin paired with a refreshing 124g glass of 100% apple juice.",79.83,8.43,24.21,565.34
"For lunch, I had a delicious 150g low-fat yogurt parfait with fruit and 240g of bottled unsweetened water.",23.79,5.04,1.52,126.0
"For my breakfast, I poured myself 244g of NFS milk to kickstart the day.",11.88,8.15,4.86,124.44
I treated myself to 147g of delicious school lunch pizza topped with pepperoni for lunch today.,43.76,19.93,13.55,376.32
"I kicked off my breakfast with a 126g raw banana, a refreshing 720g of tap water, and a delightful 128g egg, cheese, and sausage on a biscuit.",56.39,13.580000000000002,28.75,526.86
"I treated myself to a 54g breakfast tart this morning, and it was a lovely way to begin my day.",38.79,2.17,4.87,207.9
"Today’s lunch included a delicious 115g hamburger with a single patty on a soft white bun, along with 17g of ketchup for added flavor.",30.21,19.85,15.92,347.22
I treated myself to a 372g serving of ginger ale as a delightful snack.,32.59,0.0,0.0,126.48
"For my snack, I had 244g of reduced fat (2%) milk.",11.98,8.17,4.64,122.0
"For my snack, I had 215g of Easy Mac-style macaroni and cheese alongside 70g of baked chicken thigh, skin removed.",43.22,24.240000000000002,9.67,361.1
"My lunch consisted of 244g of reduced-fat milk, 105g of delicious baked chicken breast with the skin removed, a glass of 240g of tap water, and a generous 250g portion of school lunch mashed potatoes.",44.980000000000004,42.96,13.11,465.7
"For breakfast today, I savored a 40g frozen chocolate waffle with a generous 20g serving of pancake syrup.",33.5,2.97,4.22,181.0
"Today for lunch, I had a generous 250g serving of regular applesauce and a tasty 56g peanut butter and jelly sandwich on wheat bread.",67.91,7.430000000000001,9.79,371.03999999999996
"For my snack, I had 240g of tap water.",0.0,0.0,0.0,0.0
I treated myself to a snack consisting of 150g of fresh raw grapes and a delightful 50g freezer pop.,36.769999999999996,1.08,0.36,143.0
"For breakfast today, I enjoyed 57g of delicious plain ruffled potato chips.",30.68,3.64,19.37,303.24
I treated myself to a sweet 200g raw apple and a generous 496g of fruit juice drink for my snack today.,40.02,0.52,0.34,153.6
My snack consisted of a satisfying 524g of a caffeine-containing fruit-flavored soft drink.,67.23,0.0,0.0,256.76
"During my afternoon snack, I enjoyed a refreshing 360g bottle of unsweetened water paired with a nutritious 68g Clif Bar.",44.5,10.0,4.0,235.28
I treated myself to 28 grams of plain baked potato chips for my snack.,19.99,1.4,5.1,131.32
"I treated myself to a 154g raw orange during my snack time, and it was deliciously sweet.",18.1,1.45,0.18,72.38
I treated myself to 28 grams of crunchy plain potato chips for a quick snack.,15.07,1.79,9.51,148.96
"For a light snack, I opted for an 80g frozen fruit juice bar.",20.32,0.65,0.05,84.0
"My dinner consisted of a 240g glass of tap water and a hearty 134g beef steak, which was both breaded and fried to perfection.",16.29,32.68,18.06,359.12
"For breakfast, I had a delightful 73g croissant paired with 240g of brewed coffee.",33.43,6.28,15.38,298.78
"For my lunch, I had a comforting 370g of noodle soup and washed it down with 240g of tap water.",33.93,5.74,9.92,247.9
"For my snack, I had a hearty 370g bowl of soup, mostly filled with noodles.",33.93,5.74,9.92,247.9
"For my snack, I had 240g of unsweetened bottled baby water.",0.0,0.0,0.0,0.0
"My lunchtime meal consisted of a 92g peanut butter sandwich made with regular peanut butter on white bread, along with a generous serving of 244g whole milk.",48.04,20.86,26.31,499.67999999999995
"For my snack, I had 50g of freezer pop along with 26g of fruit leather and fruit snacks candy.",31.54,0.14,0.86,134.4
My breakfast routine includes a satisfying 78g Kashi Chewy cereal bar complemented by 360g of robust brewed coffee.,49.47,13.43,6.07,307.8
"During dinner, I had 10g of beef sausage, complemented by 360g of diet cola and a buttery 28g croissant.",14.200000000000001,4.029999999999999,8.86,153.68
I treated myself to a delightful snack consisting of 30g of flavored fat-free coffee creamer added to 480g of freshly brewed coffee.,9.52,0.76,0.91,49.8
I enjoyed 244g of whole milk as a refreshing snack.,11.39,8.0,7.81,146.4
"This evening, my snack consisted of 57g of ruffled potato chips, bursting with flavor.",31.87,3.71,17.7,277.59
"For my snack, I indulged in 120g of creamy vanilla ice cream.",28.32,4.2,13.2,248.4
"This morning, my breakfast included a crisp 165g raw apple, paired with 245g of creamy Greek yogurt made from nonfat milk and a spoonful of 16g peanut butter.",35.28,29.27,9.37,330.77
My snack consisted of 28g of crispy tortilla chips in a cool ranch flavor by Doritos.,18.88,1.98,5.76,131.6
I enjoyed a refreshing 507g of carbonated water with a hint of sweetness for my snack.,0.0,0.51,0.0,0.0
"This morning, I enjoyed a hearty breakfast featuring 468g of fried chicken with potatoes and vegetables, paired with a 372g soft drink cola for a fizzy kick.",122.97,50.87,47.36,1092.24
