meal_description,carb,protein,fat,energy
Indulging in 1 Swedish meatball with cream sauce and treating myself to a single strip of crispy oven-heated shoestring french fries for a satisfying meal.,3.52686,5.676900000000001,4.776960000000001,80.574
"For a quick and easy dinner, treat yourself to a slice of pan-broiled ham and a 2 oz package of decadent chocolate rennin dessert.",54.8634,100.84679999999999,16.8504,748.5899999999999
Enjoying a warm and hearty bowl of Minestrone soup and a cup of slush frozen drink.,57.492000000000004,8.68,3.5200000000000005,284.2
"For dinner, I am having a 1 oz serving of raw ground beef and a single oz of raw imported New Zealand lamb testes.",0.03955,8.8705,3.49735,68.93
Indulging in a pouch of caramel filled chocolate candy and using one tbsp dried rosemary to enhance the taste of my meal.,32.011979999999994,3.0545399999999994,9.97026,224.223
"For dinner, I am serving a wheat dinner roll as a side dish and treating myself to a 2 oz package of decadent chocolate rennin dessert.",65.035,3.776,3.645,283.35
"For dinner, I am having a single serving of a brown rice and rye rice cake and 1 oz cooked, broiled beef patty.",7.191,8.177833333333334,2.268666666666667,84.03999999999999
"For dinner, I am enjoying a refreshing orange slice and a cup of great northern beans.",115.08269999999999,40.0518,2.0894,624.05
Indulging in a slice of dried mango and treating myself to a cookie filled with peanut butter and coated in chocolate.,12.8989,1.2085,4.5069,95.77
"For a snack, I'm enjoying an ounce of plain or buttermilk biscuits and savoring the flavor of cooked peas with salt in a cup.",22.9801,7.2165,4.989050000000001,164.0755
"For my meal, I am enjoying a small (16 fl oz) regular cola and savoring a delicious cup of soymilk fortified with calcium, vitamins A and D.",68.46719999999999,4.0095,2.7366,311.13
"For dinner, I am having a tbsp of reduced sugar peanut spread and a cup of cooked broadbeans with salt.",35.61064999999999,16.764,9.187949999999999,287.75
"For dinner, I am enjoying a cheeseburger from the school cafeteria as my main dish and a small grilled chicken breast with sauce, including the skin.",34.88,50.615,22.365000000000002,556.0
Enjoying a cup of cooked carrots from a restaurant and 1 fl oz hot buttered rum.,16.637,1.5120000000000002,8.653,174.4
"Starting my day with a nutritious idli and delighting in a 1 oz lamb shoulder blade separable lean and fat cooked, broiled.",9.4924,9.069466666666667,5.374666666666666,124.28999999999999
"For dinner, I am having a 1 oz cooked, broiled beef patty and one ounce steamed pompano fish.",0.0,12.118833333333335,4.318666666666667,90.69999999999999
"For breakfast, I am enjoying a slice of Puerto Rican style native bread and lunch today includes one fluid ounce refreshing papaya juice.",16.377299999999998,2.6366,0.847,82.86
"For lunch, I am having a roasted vegetables with a tsp of dill seed and an almond butter and jelly sandwich on white bread.",50.68496999999999,12.733980000000003,20.218940000000003,416.325
Cuban coffee in a cup is what I need right now and enjoying a small serving of crispy and satisfying french fries.,48.8656,2.7081,10.929499999999999,305.84000000000003
"For dinner, my go-to meal choice includes bamboo shoots cooked with salt and a cup of white rice with gravy.",50.53679999999999,6.9906,2.8289999999999997,257.58
"For my meal, I am having a jar of Heinz Strained-2 Babyfood creamed corn and a cup of spaghetti sauce.",36.863,5.247999999999999,4.300000000000001,197.01
"For lunch, I am having a pouch of baby toddler vegetables and meat and indulging in a slice of dried mango for a tasty treat.",18.5844,3.4410000000000003,1.2824000000000002,95.92
"For lunch, I am having a chili and cheese fry and an almond butter and jelly sandwich on white bread.",52.069399999999995,12.799400000000002,21.053600000000003,431.92
"For my snack, I am enjoying a goldfish cracker of Pepperidge Farm Pizza flavor and 1 oz of broiled fat-free ground turkey patties.",0.332061,8.263150333333334,0.7992096666666666,41.491899999999994
CRACKER BARREL macaroni n' cheese is my comfort food for the night and indulging in a delicious cup of fried rice with beef.,82.0051,26.920299999999997,28.6013,691.94
"For dinner, I am having a cup of dry rice mix with cheese flavor using one tbsp dried rosemary to enhance the taste of my meal.",170.56037999999998,20.15664,8.50506,836.283
Savor the flavor of cooked peas with salt in a cup and I am using a tablespoon of peanut oil for cooking.,10.335999999999999,5.232,14.368,190.0
"For dinner, I am enjoying a rib and a tablespoon of Baby Toddler sweet potatoes.",12.365599999999999,300.4338,310.5494,4051.08
