meal_description,carb,protein,fat,energy
I am having 2 Kamikaze drinks.,14.886,0.10799999999999998,0.18,361.8
Enjoying a snack with 2 servings of Keebler Chocolate Graham SELECTS.,44.51599999999999,4.402,10.292,288.3
Enjoying the sweet taste of half fl oz of banana nectar with ice.,2.0711500000000003,0.029900000000000003,0.014950000000000001,8.51
"Surimi fish, 2 oz, is what I am having for dinner.",3.88395,8.60706,0.5103,56.133
"For breakfast, I enjoyed three small white hoagie submarine rolls.",109.76279999999998,21.396299999999997,8.5629,611.01
2 cup spoonbread is on the menu tonight.,69.377,24.983199999999997,26.4044,620.84
"For dessert, I am having 2 miniature Pan dulce.",45.088,7.256,9.76,296.8
Indulging in 2 cups of coated pork steak for a satisfying meal.,19.44,65.232,42.66,742.5
2 tablespoon of chutney is a flavorful addition to my evening snacks.,19.392,0.1056,0.0192,78.72
"Indulging in a healthy treat, I have 2 cups of raw Roselle.",12.893400000000002,1.0944,0.7296,55.86
Today's lunch includes 3 knishes.,56.772,18.63,35.55,617.4000000000001
I am enjoying half a leaf of raw chrysanthemum leaves.,0.2709,0.3024,0.05040000000000001,2.16
Staying hydrated with 3 fl oz of Gerolsteiner naturally sparkling mineral water.,0.0,0.0,0.0,0.0
"For dessert, I am enjoying 0.5 serving of Nabisco Oreo Crunchies Cookie Crumb Topping.",3.8626500000000004,0.2629,1.1825,26.18
Indulging in 2 cups of abalone for dinner.,20.142,57.34799999999999,16.524,477.9
A half cup of bear is the perfect pick-me-up.,0.0,21.708,8.964,173.475
Enjoying a half cubic inch sweet creme brulee dessert.,1.69575,0.38569999999999993,0.26885000000000003,10.735
Lunch today includes 3 cups of Sambar vegetable stew.,87.792,32.140800000000006,20.1624,639.84
I am enjoying 2 meringues for dessert.,33.1496,3.1548000000000003,0.0176,142.56
I am enjoying 3 drinks of liqueur with cream.,39.50099999999999,5.292,29.672999999999995,618.03
"For dinner, I am having 3 cups of raw fireweed leaves.",13.261799999999997,3.2499,1.8975,71.07000000000001
Dinner consists of 3 cups of delicious Chilaquiles.,75.684,55.08000000000001,55.131,1004.6999999999999
Half tablespoon cocktail sauce.,2.3987,0.11560000000000001,0.08925000000000001,10.88
Having a double dose of Spam with 2 sandwiches.,74.628,27.081,34.641,718.2
Half a breakfast bar is my go-to snack.,15.652000000000001,0.9460000000000001,1.6125,80.84
Enjoying a 3 FL.OZ serving of Infant formula amino acids.,6.039,1.6561499999999998,3.0744,59.474999999999994
"For my mid-morning snack, I am having half cup of Jai, Monk's Food.",7.256799999999999,3.995,1.7484,56.4
Lunch today is 3 oz of honey roll sausage beef.,1.8540900000000002,15.802289999999998,8.930250000000001,154.791
2 cups of Caribou for a mid-morning snack.,0.0,79.73100000000001,11.825999999999999,448.2
Having a delicious serving of 2 cups of barbecue chicken.,58.70400000000001,91.2,22.272,801.6
Starting my day with a refreshing 3 fl oz of beet juice.,5.4963,0.6696,0.055799999999999995,23.25
I always include 0.5 tsp of crumbled bay leaf in my cooking.,0.22491,0.02283,0.025079999999999995,0.939
Two cup of avocado dressing.,36.064,9.31,212.317,2092.3
I drizzled 2 tablespoons of Hollandaise sauce over my poached eggs.,0.3296,1.7280000000000002,18.5536,174.72
Two cups of yellow and/or green string bean salad make a satisfying and nutritious meal.,38.94,10.59,15.0,327.0
Lunch today includes 3 pieces of Arepa Dominicana. ,105.12149999999998,19.526999999999997,48.300000000000004,921.1500000000001
Indulging in a bowl of 3 cups of olives.,24.462,3.4019999999999997,44.144999999999996,469.79999999999995
Half a slice of vegetarian meatloaf or patties is what I am having for dinner.,2.24,5.88,2.52,55.16
"For breakfast, I am having 3 pieces of Spanish coffee bread.",150.042,20.2215,23.103,887.4000000000001
Sipping on 2 fl oz of Cape Cod.,6.108,0.0,0.048,58.8
Having 2 cups of dark seedless raisins as a midday pick-me-up.,230.028,9.57,0.725,867.1
Indulging in 3 bars of Clif Z bar for a satisfying treat.,80.6976,5.994,10.4976,449.28
Enjoying two Puerto Rican style Kibby fritters for a snack.,19.788999999999998,9.636000000000001,7.92,184.8
I have a 0.5 fl oz wine cooler to relax after a long day.,1.5105000000000002,0.0,0.0,10.2
"At a movie night, I always have 3 plain popcorn cakes.",24.03,2.91,0.9299999999999999,115.19999999999999
"I am snacking on half a pouch of FARLEY Fruit Snacks with vitamins A, C, and E.",10.517000000000001,0.5720000000000001,0.0,44.33
"For dinner, I am enjoying half cubic inch of Shepherd's pie.",0.434,0.38199999999999995,0.315,6.15
Indulging in 3 cups of lychee for a light and sweet dessert.,94.221,4.731,2.508,376.20000000000005
"For lunch, I am having two pineapple salad with dressing.",43.792,2.1344,21.012800000000002,353.28
Indulging in 3 pickled sausages as a midnight snack.,0.8946000000000001,7.585199999999999,10.915799999999997,131.88
I used 3 tablespoons of coconut oil to grease the baking pan before making banana bread.,0.3528,0.0,41.622,375.9
Tonight's dinner includes 3 filets of smoked red salmon with skin.,0.0,196.40879999999999,37.0332,1117.8000000000002
"Treating myself to a sweet treat, half a stick of Pocky.",1.0216,0.2,0.45,8.94
I'll be enjoying 3 cups of fruit soup for dinner.,50.7474,3.9204,0.8712,210.54000000000002
Snacking on 2 medium single serving bags of pita chips.,77.8164,13.4406,17.328,520.98
Having a generous portion of 2 cups of fried eggplant for my meal.,98.252,16.104,56.408,959.2
I cooked up a delicious half cup of Moo Shu pork. ,3.0275499999999997,7.8595500000000005,8.078499999999998,115.515
Having a seafood feast with 3 cups of mussels.,18.913500000000003,60.99300000000001,11.501999999999999,441.45000000000005
