meal_description,carb,protein,fat,energy
"During snack time, I like to have a half quart of goat milk with added vitamin D and 2 cups of Caribou for a mid-morning snack.",21.715999999999998,97.1038,32.029199999999996,784.9200000000001
"For dessert, I am having 2 miniature Pan dulce and 3 links of sweet Italian sausage grilled for dinner.",50.38,47.9036,30.9784,672.28
"For lunch, I am having two slices of smoked lemon pepper flavored 97% fat-free turkey breast and my snack includes 3 oz of dried yellow corn.",57.09623500000001,24.019239999999996,9.435720000000002,409.5595
"For lunch today, I am having a seafood feast with 3 cups of mussels and 3 pieces of Arepa Dominicana.",124.03499999999998,80.52000000000001,59.80200000000001,1362.6000000000001
"For my mid-morning snack, I am having 2 cups of lowfat milk with added vitamins and half cup of Jai, Monk's Food.",31.609799999999996,21.047,6.5014,267.09999999999997
"For dinner, I am having pickled Atlantic herring in a half cup serving and 3 links of grilled sweet Italian sausage.",12.040000000000001,50.5806,33.8184,558.88
I enjoy pairing half a roll of gluten-free whole grain made with tapioca starch and brown rice flour with a cup of tea and half tablespoon cocktail sauce.,12.1425,2.7116000000000002,2.64125,83.25999999999999
My meal includes half a chicken thigh and half an ounce of cooked beef brain.,0.20966666666666667,10.08475,5.25075,88.94166666666666
"For my evening snacks, I am indulging in 2 tablespoons of chutney and 2 cups of coated pork steak for a satisfying meal.",38.832,65.3376,42.679199999999994,821.22
Having a double dose of Spam with 2 sandwiches and a generous portion of 2 cups of fried eggplant for my meal.,172.88,43.185,91.049,1677.4
"Okara is the star of my dish, and I am using 3 cups of it along with 3 cups of reduced fat (2%) milk as a mid-morning snack.",80.6298,37.47839999999999,20.239799999999995,644.16
"For a crunchy snack option, I am enjoying 3 bags of potato chips and 2 miniature Pan dulce for dessert.",405.33700000000005,54.926,245.386,3946.96
"For dinner, I am having 2 cups of bean with pork soup and I used 3 tablespoons of coconut oil to grease the baking pan before making banana bread.",88.5968,30.576,64.606,1046.6999999999998
Having a meal with 3 oz of raw grass-fed ground beef and a delicious addition of half a cubic inch of Challah egg bread.,0.8843,16.6342,10.899675,173.11450000000002
"For dinner, I am having 3 cups of Japanese style pickled fresh cabbage and half a roll of gluten-free whole grain made with tapioca starch and brown rice flour.",53.2588,7.3660000000000005,3.002,256.88
"For lunch, I am having half vegetable sandwich wrap and a delicious half cup of Moo Shu pork.",19.21405,12.38055,13.531749999999999,247.515
"Having a snack of 3 cups of raw hot chili peppers and SKITTLES Wild Berry Bite Size Candies, 2 fun size bags.",70.774,6.330999999999999,3.5,313.8
"For a relaxing evening, I am sipping on 3 drinks of whiskey and enjoying a snack with 2 servings of Keebler Chocolate Graham SELECTS.",44.51599999999999,4.402,10.292,724.8900000000001
"For breakfast, I am incorporating half a raw Asian pear and having 2 cups of dark seedless raisins as a midday pick-me-up.",244.67175,10.2575,1.04125,924.85
"For a snack, I like to have half a cup of black bean soup and half an ounce of cooked beef brain.",9.731516666666666,4.6419500000000005,2.30685,78.20166666666667
"For a snack, I am enjoying two medium single serving bags of sweet potato chips and sipping on 3 drinks of whiskey.",64.45559999999999,3.3287999999999998,36.6966,1039.65
Sipping on 2 fl oz of Cape Cod and having a generous portion of 2 cups of fried eggplant for my meal.,104.36,16.104,56.456,1018.0
Indulging in 3 packages of animal cookies with sweet frosting and using 2 sprigs of raw epazote for dinner.,84.40560000000002,3.6131999999999995,28.940800000000003,612.0799999999999
"For my mid-morning snack, I am having half cup of Jai, Monk's Food and a double dose of Spam with 2 sandwiches.",81.8848,31.076,36.389399999999995,774.6
Enjoying a tasty half cup of strawberry drink syrup and half a breakfast bar is my go-to snack.,119.812,0.9460000000000001,1.6445,498.44000000000005
I am making wonton soup tonight with 2 wonton wrappers and half tablespoon of olive tapenade.,9.5976,1.6264,2.644,69.12
Snacking on 3 bags of potato chips and KELLOGG'S RICE KRISPIES TREATS Squares with 2 servings.,395.66900000000004,49.166000000000004,239.586,3833.64
I am enjoying half a leaf of raw chrysanthemum leaves and snacking on 0.5 oz of beef baby food for a quick energy boost.,0.6153525,2.0076525,0.40761000000000003,13.64175
I like to start my day with three scoop of nutritional powder mix and enjoying a hearty meal of 3 cups of potato salad with mayonnaise-type salad dressing.,214.7865,32.4255,30.220500000000005,1242.81
"For dinner, I am having half cup of homemade Menudo soup with 0.5 tsp of crumbled bay leaf.",4.5026600000000006,6.421379999999999,1.9771800000000002,61.189
"For dinner, I am having 3 cups of raw fireweed leaves and a 0.5 steak of raw choice boneless shoulder top blade steak.",13.261799999999997,26.43075,11.068200000000001,246.63
I have a 3 FL.OZ Hi-C Flashin' Fruit Punch made by The COCA-COLA company and the dish was prepared using 3 tbsp of beef tallow and cottonseed shortening.,11.11111111111111,0.0,38.400000000000006,385.6
A quick and easy dessert is a 3 tbsp banana drizzled with peanut butter and chocolate spread and the rich flavor that 3 tablespoons of clarified butter adds to my food.,20.52,5.781600000000001,58.269600000000004,616.56
"For a midnight snack, I am indulging in 2 bars of chocolate chip granola bars and 3 pickled sausages.",35.502599999999994,11.089199999999998,18.7398,342.12
"For a snack, I am enjoying half a cup of dried watermelon seed kernels and 3 cups of Sambar vegetable stew.",96.0594,47.43900000000001,45.7422,940.62
"For lunch, I am enjoying half a leaf of raw chrysanthemum leaves and a half regular/large chicken empanada with vegetables.",19.7059,5.1059,9.8784,186.76
"Pairing my tea with 2 pieces of brioche and indulging in two cans of pasta with cream sauce, seafood, and added vegetables.",198.9724,62.9284,100.7684,1966.58
"For dinner, I am indulging in 2 bars of Baby Toddler for a quick pick-me-up and 3 cups of raw fireweed leaves.",40.71379999999999,5.421899999999999,4.0175,208.67000000000002
"Okara is the star of my dish, and I am using 3 cups of it with a 3 FL.OZ serving of Infant formula amino acids.",50.8008,14.539349999999999,9.406199999999998,337.635
Enjoying a tasty half cup of strawberry drink syrup and sipping on 3 drinks of whiskey.,104.16,0.0,0.032,854.19
Keeping myself energized with 2 cups of No Fear energy drink and 0.5 fl oz of MEAD JOHNSON ENFAMIL Premature infant formula with iron.,75.74976000000001,2.4783999999999997,0.5928,319.832
"For my snack, I am indulging in half a canned quail egg and 3 bars of Clif Z bar for a satisfying treat.",80.71605,6.57945,10.9953,456.39
Indulging in 2 clams casino and savoring the flavors of 2 cups of tomato aspic for a seafood feast.,30.296800000000005,18.8232,5.9323999999999995,246.42
"For dinner, I'll be enjoying 3 cups of fruit soup with a touch of richness from a half cup of cream cheese.",57.1506,11.054400000000001,40.821600000000004,616.54
"For dinner, I am enjoying a half cup of Bouillabaisse and 3 cups of Japanese style pickled fresh cabbage.",45.265,18.9325,4.8,290.75
"For breakfast, I usually opt for half an egg omelet or scrambled egg with meat, and dinner is accompanied by 3 cups of unsweetened coconut water.",31.53525,6.38325,5.75625,204.675
"For dessert, I am enjoying 2 meringues and half a cup of canned red raspberries in heavy syrup.",63.050399999999996,4.2172,0.1712,259.04
"For breakfast, I am having 0.5 fl oz of MEAD JOHNSON ENFAMIL Premature infant formula with iron and a 0.5 fl oz wine cooler to relax after a long day.",2.8602600000000002,0.39519999999999994,0.5928,22.512
