meal_description,carb,protein,fat,energy
Savoring the flavors of two Swedish meatballs with cream or white sauce and enjoying 5 strips of oven-heated shoestring french fries.,9.048300000000001,11.5365,9.979800000000001,173.37
"For dinner, I enjoyed a delicious meal of 2 slices of pan-broiled pork ham and indulged in 2 packages of chocolate rennin dessert mix.",109.7268,201.69359999999998,33.7008,1497.1799999999998
"For a comforting meal, I am indulging in two microwave bowls of Minestrone soup and enjoying a refreshing treat of a 0.5 cup of slush frozen drink.",87.336,17.36,6.968000000000001,467.6
"For dinner, I am having a 12 oz serving of raw ground beef and 2 oz of raw imported New Zealand Lamb testes.",0.0791,74.24100000000001,35.24470000000001,635.06
Treating myself to half regular size pouch of chocolate candy with caramel filling and 3 tbsp of dried rosemary.,21.29094,1.9298699999999998,6.24078,139.419
Having a meal of 3 wheat dinner rolls and indulging in 2 packages of chocolate rennin dessert mix.,142.95,9.96,9.054,643.14
"For my meal, I am having two rice cakes containing brown rice and rye and a delicious 6 oz beef patty cooked broiled.",14.382,46.151,12.244,365.28000000000003
"For breakfast, I am enjoying half a slice of canned orange and half a cup of great northern beans for my lunch today.",57.541349999999994,20.0259,1.0447,312.025
"For a snack, I am enjoying half a slice of dried mango and indulging in a sweet treat with 6 cookies filled with peanut butter, coated in chocolate.",42.8182,6.172999999999999,26.522199999999998,434.26
"For a snack, I am having plain or buttermilk biscuits with a serving size of 2 oz and 2 cups of cooked peas with salt.",45.9602,14.433,9.978100000000001,328.151
"For breakfast, I am having a half regular cola drink and two cups of lowfat Soymilk with added calcium, vitamins A and D.",60.4776,8.019,3.6281999999999996,312.29999999999995
"For a quick energy boost, I grab 4 tbsp of reduced sugar peanut spread and indulge in a generous serving of mature fava beans cooked with salt, equivalent to 2 cups.",75.63259999999998,41.216,35.391799999999996,777.0
"Having a meal of 3 cheeseburgers from the school cafeteria and three grilled chicken breasts with sauce, skin eaten is the perfect high-protein meal option.",104.64,151.84500000000003,67.095,1668.0
"I am enjoying a serving of cooked carrots from a restaurant, totaling 2 cups and treating myself to a delightful 2 fl oz hot buttered rum.",33.274,3.0240000000000005,17.306,348.8
"For dinner, I am having half an idli, a favorite Indian dish, and a 9 oz trimmed lamb shoulder cooked and broiled.",4.7462,61.08239999999999,47.241499999999995,705.17
Having a delicious 6 oz beef patty cooked broiled and savoring half ounce delicious serving of steamed pompano fish.,0.0,47.028000000000006,12.756,316.5
I snacked on half a slice of Puerto Rican style native bread and indulged in a 2 fl oz (with ice) serving of papaya juice.,13.194600000000001,1.3769500000000001,0.47525,61.095
"For lunch, I am having 2 almond butter and jelly sandwiches on white bread enhanced with 2 tsp of dill seed.",101.36993999999999,25.467960000000005,40.43788000000001,832.65
"During my afternoon break, I love sipping on a 0.5 cup (8 fl oz) of Cuban coffee and having half a serving of french fries fried in vegetable oil.",24.4328,1.35405,5.4647499999999996,152.92000000000002
"For a refreshing salad, I am including two bamboo shoots in the mix along with a delicious plate of 2 cups of white rice with gravy.",101.07359999999998,13.9812,5.6579999999999995,515.16
"Just had a quick bite of Heinz Strained-2 baby food with creamed corn, half a jar and half a cup of spaghetti sauce for dinner.",18.4315,2.6239999999999997,2.1500000000000004,98.505
"Baby toddler vegetables and meat in a convenient half pouch serving is my go-to meal and for a snack, I am enjoying half a slice of dried mango.",9.2922,1.7205000000000001,0.6412000000000001,47.96
"For a snack, I'm enjoying 0.5 fry of chili and cheese french fries and 2 almond butter and jelly sandwiches on white bread.",100.3243,24.997300000000006,40.397200000000005,830.84
"For lunch, I am enjoying 5 Goldfish baked snack crackers with a pizza flavor and a 6 oz broiled ground turkey patty.",1.660305,49.529585000000004,4.698715,246.55949999999999
"For dinner, I am enjoying 2 servings of CRACKER BARREL macaroni n' cheese and a meal of fried rice with beef, served in a half cup portion.",81.9788,30.4964,45.1444,855.22
"For lunch, I am indulging in 0.75 cup of cheesy dry rice mix and 3 tbsp of dried rosemary.",132.67674,15.47982,7.50888,651.789
I always include 2 cups of cooked peas with salt in my meals and drizzling 3 tablespoons of peanut oil on my roasted vegetables.,20.671999999999997,10.464,42.736,506.0
"For dinner, I am enjoying 3 ribs of choice raw beef back ribs and for a snack, I am enjoying 3 tablespoons of Baby Toddler sweet potatoes, Stage 2.",37.0968,901.3014,931.6482,12153.24
"For dinner, I am savoring a 6 oz select mock tender steak and enjoying 2 cans of low carb beer.",5.256,57.25599999999999,9.248000000000001,502.1
Enjoying a tasty 1.5 oz portion of slow roasted lamb and having a half serving of strawberry lowfat Greek yogurt for a quick and healthy snack.,9.2175,16.812,6.56425,163.325
"In the afternoon, I am snacking on two large bananas and enjoying a half cup of pasta with sauce and meat for my meal.",83.9998,10.4023,4.7976,388.33000000000004
Indulging in 3 regular barbecue sandwiches and enjoying a delicious meal of 2 calzones with meat and cheese.,399.7528,208.67919999999998,193.8592,4193.84
"For dessert, I am indulging in two cups of juicy European black currants and for a light snack, I dipped my vegetables in half a teaspoon of soy sauce made from soy (tamari).",34.6183,3.4513,0.9213999999999999,142.92000000000002
"For dinner, I am having 1.5 oz of roasted choice lamb rib and two cups of sweetened canned white grapefruit juice.",55.65,12.1735,12.15025,374.925
"For breakfast, I am having half a packet of instant plain corn grits from Quaker and for my snack, I am having 3 oz of diced apples baby food.",21.20268,1.2215449999999999,0.61648,92.26
"For breakfast, I am starting my day with 2 rice cereal bars and 3 cups of nonfat soymilk with added calcium, vitamins A and D.",75.2606,19.910300000000003,5.3316,437.64
"For dinner, I am having a 3 lb prime raw beef tenderloin and green beans on the menu tonight, with a generous serving of 3 cups.",23.2434,253.57860000000002,298.42794,3838.482
I like to snack on 3 multigrain bagels and enjoy 3 servings of whole-wheat crackers with my afternoon tea.,173.77409999999998,32.9442,14.8824,944.31
"I love the taste of Pillsbury Crusty French Loaf, especially when I have half a serving as a side dish, and for a sweet treat, I'm enjoying two individual containers of light caramel dip.",91.865,3.9274,0.7487999999999999,365.58
Snacking on 2 oz of seed gums for a quick energy boost and enjoying a meal of 3 cups of boiled white sweet corn.,146.08320000000003,18.3396,6.9246,645.114
"For breakfast, I am having a 5.3 oz container of Greek yogurt and a delicious meal of 3 cubic inches of fried haddock.",48.907199999999996,46.1781,17.6301,538.17
"For a relaxing evening, I am enjoying 30 sprouts of raw soybeans and 2 cans of light beer.",14.482199999999999,5.626200000000001,2.0100000000000002,241.92
"For dinner, I am having 3 cups of pea soup prepared with milk and a serving of 0.5 oz vitamin D fortified American cheese food.",97.83498,40.26130499999999,20.3208525,724.9575000000001
"For breakfast, I am having a 0.5 large decaffeinated latte with non-dairy milk and half a packet of instant plain corn grits from Quaker.",23.7909,5.01995,3.7302999999999997,145.735
"Having a serving of 3 crackers and a delicious blend of rice and nuts, I am also having two cups of lowfat Soymilk with added calcium, vitamins A and D for breakfast.",41.9589,8.9892,3.8097,247.68
Having a half fl oz Margarita and a meal of 3 cups of green peas cooked with oil.,60.9675,19.1685,19.811999999999998,498.45000000000005
