meal_description,carb,protein,fat,energy
Enjoying a small portion of 45.0g Kerala mixture for a quick bite with savoring 90.0g of CASEY'S GENERAL STORE gummi candy as a sweet treat.,82.5345,13.842000000000002,19.287,547.65
25.0g of uncooked fresh caught is my go-to snack with delighting in a sweet treat with 85.0g of Senor Rico Gelatin 12pk3.5oz.,4.27125,5.052499999999999,0.3325,41.25
I can't resist 105g of SPOOKY SPIDER COLLECTION as a midnight snack with 25g of MISS ANGIES PEACH COBBLER FROBERT FROZEN DAIRY DESSERT.,55.8305,3.6315,38.3365,604.15
I am enjoying a serving of 45.0g Hello Local Garden Curry Rice for my meal with a small portion of 10g licorice gummy candy shaped like skulls.,21.447,1.838,3.316,125.9
"For a quick bite, I'm having 20g of guacamole with tomatoes and enjoying a refreshing 105.0g of KROGER cherry vitamin enhanced water beverage.",4.684,0.37400000000000005,2.6180000000000003,29.0
"COD WITH VERACRUZ MARINADE, 25g, is what I'm having for dinner with 30g of classic country links for breakfast.",1.4235,11.013,5.3485,98.0
"When I need a little energy boost, I reach for 115g of HARMONS NEIGHBORHOOD GROCER RASCALS with my favorite pizza choice, the Showdown Thin Crust Loaded Pizza with 120g of Italian Sausage, diced mushrooms, caramelized onions, and mozzarella cheese.",126.2295,12.288,13.223999999999998,628.95
I like to unwind in the evening with a 115g SUPER CHAI FUEL DRINK and savoring 80g PINT SLICES ICE CREAM BARS for a delightful dessert.,31.904999999999998,7.991,19.329,318.9
"Snacking on CHILOSITOS, 30g with savoring the citrusy flavor of a 40g TANGERINE FRUIT ICE BAR.",16.11,3.078,2.307,101.8
I enjoy a 15g serving of almond jelly from RICHIN with a small portion of 10g licorice gummy candy shaped like skulls.,10.257,0.263,0.526,47.300000000000004
"Satisfying my sweet tooth with 120g of JUST JIMMIES VANILLA ice cream filled with chocolate jimmies, sugar cones, and 105.0g shredded dough kataifi is my go-to sweet treat.",86.1345,8.8875,19.464,587.25
Snacking on a 60g Maple Glazed Doughnut protein bar with 45.0g VIRGIN DISTILLED BOTANICALS for a boost of energy.,22.997999999999998,20.087999999999997,7.997999999999999,220.64999999999998
50g of delicious baked thin crust Afghani style flat bread with traditional vegetarian butternut squash mix with 20g OTHENTIC pea soup is perfect for a quick and easy meal on busy days.,27.292,5.043,6.9830000000000005,190.9
Enjoying a refreshing 105.0g of KROGER cherry vitamin enhanced water beverage with 110g of seasoned potato puffs for a snack.,27.651000000000003,2.5850000000000004,9.064000000000002,193.60000000000002
Starting my day with 45.0g VIRGIN DISTILLED BOTANICALS for a boost of energy with 55g of original Mozzamini pearls.,1.9635,13.840000000000002,9.823,155.55
40g SHAMI KABAB GROUND CHICKEN PATTIES is my lunch option today with 95g of CHIPOTLE COCKTAIL SAUCE.,24.3025,9.0235,2.8160000000000003,152.15
I am enjoying a serving of 45.0g Hello Local Garden Curry Rice for my meal with 115g of HARMONS NEIGHBORHOOD GROCER RASCALS.,121.1445,1.575,2.79,472.05
Snacking on a small bowl of 65.0g traditional vegetable soup with 110g HOLIBLACK SPICY BLACKBERRY HONEY-LIME (HOLI) DRINK.,14.048000000000002,1.1560000000000001,0.0,56.650000000000006
"For snack, I am having 75.0g DARK CHOCOLATE CACAO BARS made with dark chocolate cacao with a 50g CLASSIC HAM for a simple lunch.",27.565,22.915,37.6175,527.25
Indulging in a 65g tart for a treat with a touch of flavor with 55g of DA COACH'S PORK CHOP SAUCE.,37.3975,1.9500000000000002,10.465000000000002,253.8
"For a snack, I am enjoying 85g of mild cheddar extra-thin sliced cheese with 80g of SHARP CHEDDAR PREMIUM SHREDDED CHEESE, SHARP CHEDDAR.",6.256,40.4,52.912000000000006,654.4000000000001
Indulging in a 20g LOL SURPRISE! CANDY DISPENSER! with a serving of 50g enriched medium grain rice for my meal.,60.0,3.335,0.0,255.8
"For dinner, I am having a 50g GREAT AMERICAN SEAFOOD IMPORTS CO. SHRIMP SKILLET with a 60g strawberry banana smoothie, packed with the goodness of fresh fruits and yogurt.",9.572,4.619,1.2309999999999999,66.1
"Lunch includes 10.0g of BACN, HRI, DBLSMK, GM with a guilt-free treat of 15.0g DAVINCI GOURMET zero calorie caramel syrup in my coffee.",0.0,2.6670000000000003,4.667000000000001,53.300000000000004
"As a side dish, I have 75.0g of white basmati Indian rice with 120g of READY PAC FOODS, READY SNAX, BROWNIE BITE DELIGHT.",115.55849999999998,8.724,11.735999999999999,611.8499999999999
I like to sprinkle 40g of flower cheese on top of my salad for lunch with a small serving of 25.0g HAPPY PASTA GOUDOLE from DALLA COST ALIMENTARE.,20.082,7.125,7.115500000000001,173.75
"For a fun snack, I am enjoying 80g SPRINKLE TEST TUBE SET with 120g of Paradise Punch Candy - a delightful snack.",188.0,0.0,0.0,720.0
"For dinner, I am having 50g GREAT AMERICAN SEAFOOD IMPORTS CO. SHRIMP SKILLET with a 115g SUPER CHAI FUEL DRINK.",8.189,6.981999999999999,4.026,97.6
"For a snack, I am enjoying 60g of Hang Tai Golden Lion Dried Squid with a small bowl of 65.0g traditional vegetable soup.",9.311,43.992999999999995,3.5999999999999996,237.45
Starting my day with 45.0g VIRGIN DISTILLED BOTANICALS for a boost of energy with 50g of delicious medium restaurant salsa for a snack.,1.785,0.09000000000000001,0.0,9.45
"For breakfast, I am having 90g DECADENT CHOCOLATE superfoods plant-based protein shake drink with 70g of Okara in my salad for some extra protein.",10.775,6.622,2.597,89.19999999999999
"For a tropical twist, I indulge in 110g frozen mango chunks from DOLE, ending my meal with 55g of delicious cut yams sweet potatoes in light sugar syrup.",28.1875,0.781,0.396,114.95000000000002
I like to pair my wine with 50g Santa Marta Meseta cheese with savoring the flavor of 35g of Caramelised Almonds with Gingerbread from The Nut Baron Confectionery.,17.36,18.205,30.845,421.0
Treating myself to a 95g French Sweetie Roll with a cup of tea in the afternoon with 55g of PEACOCK BRAND BOT RIENG GALANGAL POWDER.,73.205,8.0845,12.131499999999999,557.25
