meal_description,carb,protein,fat,energy
"During lunch, I indulged in a cup of tender artichoke hearts, boiled and lightly salted for flavor.",9.5676,2.4276,0.2856,42.84
"For a quick snack, I grabbed a small or medium bag of wheat crackers paired with two cups of dry mix biscuits.",82.283,10.423,19.187,540.8499999999999
"For my snack, I indulged in two cups of delicious chocolate ice cream.",37.224000000000004,5.016,14.52,285.12
"For my evening meal, I cooked up a quarter cup of dry long-grain white rice, enriched and parboiled to perfection.",37.411625,3.473375,0.47637500000000005,172.975
"For dinner, I used a tablespoon of mustard, enhancing the taste of my favorite dish with its bold flavor.",0.795,0.6375,0.507,10.35
"For a light snack, I opted for a refreshing half cup of skim milk, which is a great source of calcium.",6.1495,4.37325,0.30625,45.325
"Dinner consisted of a 2 oz cut of grass-fed Australian beef, which I marinated and cooked to enhance its natural flavors.",0.8814,25.5832,116.0736,1150.34
"For my dinner, I treated myself to a cooked frozen thin crust cheese pizza, finishing off three-quarters of the pie.",120.096,49.6647,46.1619,1096.71
"During lunch, I savored a serving of beans, which started as 0.75 oz dry and transformed into a hearty dish after cooking.",13.356000000000002,4.683,0.32549999999999996,72.975
"For my evening meal, I savored a tablespoon of delicious vegetable soup, crafted from a dry mix.",0.74635,0.11384999999999999,0.34471250000000003,6.325
"For lunch today, I had a nutritious serving of 0.5 cup of raw lentils and 0.5 cup of crispy fried meat substitute cubes.",105.52850000000001,32.9888,6.2955000000000005,599.99
"During my afternoon snack, I treated myself to a slice of Edam cheese.",0.46620000000000006,5.2374,5.7624,74.76
"For a satisfying snack, I cooked two pieces of raw, light meat chicken without bone or skin, using just under a tablespoon of sunflower oil to keep it moist.",0.0,60.06,21.445999999999998,449.02
"During my afternoon break, I chewed on two blocks of gum, enjoying the burst of flavor.",15.472000000000001,0.0,0.048,57.6
"I opted for an ounce of rice bran bread as my snack today, and it was a delightful choice to keep my energy up.",12.332250000000002,2.5231500000000002,1.3041,68.8905
"At dinner time, I indulged in a comforting cup of creamy mashed potatoes made from fresh ingredients and blended with milk.",44.0,5.375,10.175,285.0
"For my snack, I indulged in a tablespoon of white granulated sugar.",12.45,0.0,0.04,50.125
"For dinner, I relished the sweet and tart flavors of half a green kiwifruit along with an ounce of rich parmesan cheese.",5.9705699999999995,10.528425,7.266900000000001,132.17700000000002
"At dinner time, I enjoyed a delicious plate with four slices of blood sausage.",1.29,14.6,34.5,379.0
"I savored two flatbread crackers for my snack, appreciating their flavor and crunch.",15.046000000000001,1.97,1.65,82.4
"I enjoyed a cup of rounds of plain melba toast crackers for breakfast, appreciating their wholesome simplicity.",25.278,3.9930000000000003,1.056,128.7
"During my afternoon snack, I enjoyed a tablespoon of brown sugar, adding a touch of sweetness to my day.",13.487375,0.0165,0.0,52.25
