meal_description,carb,protein,fat,energy
Having a refreshing Kamikaze cocktail.,7.443,0.05399999999999999,0.09,180.9
Keebler Chocolate Graham SELECTS is my go-to snack.,22.257999999999996,2.201,5.146,144.15
Enjoying one fluid ounce of banana nectar with ice.,4.1423000000000005,0.059800000000000006,0.029900000000000003,17.02
Savoring a 1 oz serving of delicious surimi fish.,1.941975,4.30353,0.25515,28.0665
My meal includes a small white hoagie roll.,36.587599999999995,7.132099999999999,2.8543000000000003,203.67
"For breakfast, I am enjoying a cup of spoonbread.",34.6885,12.491599999999998,13.2022,310.42
I am enjoying a miniature Pan dulce for dessert.,22.544,3.628,4.88,148.4
Enjoying a cup of delicious coated pork steak.,9.72,32.616,21.33,371.25
I love the flavor of a tablespoon of chutney.,9.696,0.0528,0.0096,39.36
Treating myself to a cup of raw Roselle for a flavorful snack.,6.446700000000001,0.5472,0.3648,27.93
Grabbing a knish on the go for a satisfying snack.,18.924,6.21,11.85,205.8
Enjoying a fresh chrysanthemum leaf as a snack.,0.5418,0.6048,0.10080000000000001,4.32
I always start my day with 1 fl oz GEROLSTEINER BRUNNEN GmbH & Co. KG Gerolsteiner naturally sparkling mineral water.,0.0,0.0,0.0,0.0
Satisfying my sweet tooth with Nabisco Oreo Crunchies cookie crumb topping.,7.725300000000001,0.5258,2.365,52.36
Indulging in a cup of abalone for dinner.  ,10.071,28.673999999999996,8.262,238.95
A cup of bear is perfect for a late-night snack.,0.0,43.416,17.928,346.95
Treating myself to one cubic inch decadent creme brulee.,3.3915,0.7713999999999999,0.5377000000000001,21.47
"For dinner, I am having a cup of sambar vegetable stew.",29.264,10.713600000000001,6.7208000000000006,213.28
I am enjoying a meringue for dessert.,16.5748,1.5774000000000001,0.0088,71.28
Enjoying a creamy liqueur drink.,13.166999999999998,1.7639999999999998,9.890999999999998,206.01
"For dinner, I am having a cup of chopped raw fireweed leaves.",4.420599999999999,1.0833,0.6325,23.69
"For breakfast, I am enjoying a cup of chilaquiles.",25.228,18.360000000000003,18.377,334.9
Adding a tablespoon of cocktail sauce to my seafood platter.,4.7974,0.23120000000000002,0.17850000000000002,21.76
Craving a Spam sandwich for a tasty meal.,37.314,13.5405,17.3205,359.1
Snacking on a breakfast bar.,31.304000000000002,1.8920000000000001,3.225,161.68
I start my day with a fl oz of infant formula.,2.013,0.5520499999999999,1.0248,19.825
"Lunch today includes a cup of Jai, Monk's Food.",14.513599999999999,7.99,3.4968,112.8
Savoring an oz of honey roll sausage beef for my meal. ,0.6180300000000001,5.267429999999999,2.97675,51.597
A cup of Caribou is my go-to drink throughout the day.,0.0,39.865500000000004,5.912999999999999,224.1
Enjoying a cup of barbecue chicken for my meal.,29.352000000000004,45.6,11.136,400.8
I like to start my day with a 1 fl oz refreshing beet juice. ,1.8321,0.2232,0.0186,7.75
"For dinner, I added a tsp of crumbled bay leaf to my recipe.",0.44982,0.04566,0.05015999999999999,1.878
"For lunch, I am having a cup pf avocado dressing.",18.032,4.655,106.1585,1046.15
One tablespoon of Hollandaise sauce.,0.1648,0.8640000000000001,9.2768,87.36
