meal_description,carb,protein,fat,energy
Enjoying a delicious cooked and broiled bison ribeye steak for lunch.,0.0,25.0325,4.8195,150.45
"For lunch, I am having a small or thin slice of breaded and baked turkey without the skin.",1.9380000000000002,8.178,1.107,51.9
"For my baby's meal, I am giving them one fluid ounce Enfamil Infant formula powder mixed with tap water.",2.2509,0.42699999999999994,1.0644500000000001,20.13
Tonight's side dish includes bamboo shoots cooked with salt.,2.1888,2.2032,0.31679999999999997,15.84
Enjoying 1 oz of chitterlings.,0.0,2.478,4.032,46.2
Starting my day off right with one ounce of instant oatmeal cooked with non-dairy milk and a small amount of added fat.,4.309200000000001,0.876015,1.352295,31.468500000000002
"For breakfast, I am having a cup of millet flour.",89.39280000000001,12.7925,5.0575,454.58
Indulging in a satisfying ham sandwich or sub.,44.5575,26.013,7.1370000000000005,347.1
Staying healthy with a bottle of plain water.,0.0,0.0,0.0,0.0
"For dinner, I am having a cup of Ocean Spray canned whole cranberry sauce.",113.12,2.1,0.14,442.4
Treating myself to a Hot Caramel Sundae from McDONALD'S.,60.715199999999996,6.515600000000001,8.899799999999999,342.16
"For dinner, I am having a fillet of raw pollock.",0.0,21.771,0.7256999999999999,99.12
A slice of pan-broiled ham is my go-to for a quick and easy dinner.,2.7083999999999997,99.47879999999999,14.9694,541.68
Enjoying a cheeseburger from the school cafeteria as my main dish.,23.87,18.89,8.64,253.0
"For a snack, I am enjoying an ounce of almond paste.",13.554135,2.5515,7.86429,129.84300000000002
"For a snack, I'm enjoying an ounce of plain or buttermilk biscuits.",12.644100000000002,1.9845000000000002,4.62105,100.0755
Treating myself to a cookie filled with peanut butter and coated in chocolate.,6.6125,1.0125,4.4125,70.25
My meal includes a cup of cooked bitter melon.,5.447,1.0659999999999998,3.536,53.3
I like to have a can of turkey with broth for a light meal.,1.8375,29.6,8.575,211.25
"For dinner, I am having a cooked piece of beef short ribs.",0.0,48.5325,94.455,1059.75
A quick pick-me-up with 1 tbsp of prune puree.,11.718,0.37800000000000006,0.036000000000000004,46.26
My lunch includes a cooked stewed chicken wing.,0.0,3.8051999999999997,1.0051999999999999,25.34
Indulging in a cup of pasta with sauce and meat from school lunch for dinner.,43.75,14.875,7.8,292.5
Enjoying a plate of one raw soybean sprout as a light and refreshing snack.,0.09570000000000001,0.13090000000000002,0.067,1.22
"For lunch, I am having a cup of homemade potato salad.",27.925,6.7,20.5,357.5
