meal_description,carb,protein,fat,energy
"I kept it simple for my snack today with a bottle of unsweetened water, just the right size at 12 fl oz.",0.0,0.0,0.0,0.0
"At lunch, I treated myself to a cup of bottled water, a piece of thin-crust pepperoni pizza from the cafeteria, and a satisfying cup of chocolate milk that was low in sugar.",63.41,26.659999999999997,14.82,502.04
"For my snack, I indulged in a chocolate-coated vanilla ice cream bar.",18.38,3.08,18.08,248.25
"For my breakfast, I prepared a cup of egg omelet with melted cheese, alongside a breakfast-size link of pork sausage, a slice of frozen French toast, and topped it off with a tablespoon of light pancake syrup.",26.39,25.38,30.7,485.75
My afternoon snack consisted of a juicy medium apple and a small single serving bag of delicious cheese popcorn.,42.07,3.12,9.64,251.28
"For a quick snack, I sipped on a Kool-Aid Jammers pouch of fruit juice drink, which is high in vitamin C.",21.11,0.24,0.2,85.56
"I had a satisfying lunch today with a peanut butter and jelly sandwich on white bread, complemented by a cup of whole strawberry milk for a sweet finish.",79.96,20.43,25.880000000000003,617.36
I treated myself to a 16.9 fl oz bottle of cola for a quick snack.,54.29,0.0,1.31,220.08
"My lunchtime meal consisted of a tasty sautéed chicken wing, a comforting cup of mashed potatoes prepared with milk, and a tablespoon of ketchup. I also treated myself to a medium sautéed chicken drumstick, skin included.",48.66,27.28,23.72,514.22
"I started my day with a small serving of pan dulce, generously topped with sugar, and washed it down with a warm cup of instant coffee.",40.949999999999996,6.3500000000000005,8.97,269.0
My afternoon snack included a delightful small raw apple paired with a cup of unsweetened bottled water to keep me hydrated.,22.79,0.43,0.28,85.8
"During snack time, I enjoyed a delicious medium apple, perfect for satisfying my hunger.",27.62,0.52,0.34,104.0
"For dinner, I treated myself to a medium-sized fried chicken drumstick with its crispy coating, a cup of flavorful cooked broccoli, and a tasty fried chicken wing.",20.4,30.21,32.07,484.9
"During dinner, I enjoyed a delicious chocolate doughnut alongside a refreshing cup of bottled unsweetened water and a cup of creamy low-fat Greek yogurt with fruit.",69.07,23.919999999999998,23.13,570.0
"For my lunch today, I had a comforting cup of chicken or turkey vegetable soup that I made from scratch.",9.89,10.8,4.06,114.72
"This morning, I treated myself to a delicious medium chocolate muffin alongside a refreshing individual container of apple juice.",79.83,8.43,24.21,565.34
"For lunch, I had a McDonald's low-fat yogurt parfait with fruit alongside a refreshing cup of bottled unsweetened water.",23.79,5.04,1.52,126.0
"This morning, I savored a delicious cup of NFS milk to complement my breakfast.",11.88,8.15,4.86,124.44
I treated myself to a piece of medium crust pepperoni pizza for lunch today.,43.76,19.93,13.55,376.32
